 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,214.930,776.744,20.470,73.976,261,1,629,489.500,59.905,46.619,505.750,48.167
2,2,0.067,214.970,776.804,20.473,73.981,260,1,629,489.500,59.905,46.619,505.750,48.167
3,3,0.100,214.970,776.804,20.473,73.981,260,1,629,489.500,59.905,46.619,505.750,48.167
4,4,0.133,215.109,777.195,20.487,74.019,238,1,629,489.500,59.905,46.619,505.750,48.167
5,5,0.167,214.618,776.624,20.440,73.964,219,1,629,489.500,59.905,46.619,505.750,48.167
6,6,0.200,213.997,775.802,20.381,73.886,211,1,629,489.500,59.905,46.619,505.750,48.167
7,7,0.233,214.109,775.945,20.391,73.900,213,1,629,489.500,59.905,46.619,505.750,48.167
8,8,0.267,214.012,775.875,20.382,73.893,201,1,629,489.500,59.905,46.619,505.750,48.167
9,9,0.300,215.096,777.472,20.485,74.045,196,1,629,489.500,59.905,46.619,505.750,48.167
10,10,0.333,215.070,777.440,20.483,74.042,196,1,629,489.500,59.905,46.619,505.750,48.167
11,11,0.367,214.829,777.162,20.460,74.015,185,1,629,489.500,59.905,46.619,505.750,48.167
12,12,0.400,214.526,776.735,20.431,73.975,185,1,629,489.500,59.905,46.619,505.750,48.167
13,13,0.433,214.229,776.340,20.403,73.937,180,1,629,489.500,59.905,46.619,505.750,48.167
14,14,0.467,214.233,776.362,20.403,73.939,178,1,629,489.500,59.905,46.619,505.750,48.167
15,15,0.500,214.466,776.674,20.425,73.969,180,1,629,489.500,59.905,46.619,505.750,48.167
16,16,0.533,272.006,152.621,25.905,14.535,245,1,629,489.500,59.905,46.619,505.750,48.167
17,17,0.567,270.837,154.015,25.794,14.668,262,1,629,489.500,59.905,46.619,505.750,48.167
18,18,0.600,268.941,156.044,25.613,14.861,289,1,629,489.500,59.905,46.619,505.750,48.167
19,19,0.633,267.155,157.935,25.443,15.041,340,1,629,489.500,59.905,46.619,505.750,48.167
20,20,0.667,264.633,160.780,25.203,15.312,409,1,629,489.500,59.905,46.619,505.750,48.167
21,21,0.700,263.608,161.920,25.106,15.421,428,1,629,489.500,59.905,46.619,505.750,48.167
22,22,0.733,261.842,164.003,24.937,15.619,496,1,629,489.500,59.905,46.619,505.750,48.167
23,23,0.767,214.037,776.151,20.384,73.919,169,1,629,489.500,59.905,46.619,505.750,48.167
24,24,0.800,214.418,776.654,20.421,73.967,173,1,629,489.500,59.905,46.619,505.750,48.167
25,25,0.833,156.476,666.052,14.902,63.434,170,1,629,489.500,59.905,46.619,505.750,48.167
26,26,0.867,157.153,667.840,14.967,63.604,172,1,629,489.500,59.905,46.619,505.750,48.167
27,27,0.900,215.170,777.660,20.492,74.063,180,1,629,489.500,59.905,46.619,505.750,48.167
