 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,625.729,521.537,59.031,49.202,373,1,604.500,500,57.028,47.170,477.750,45.071
2,2,0.067,624.785,521.394,58.942,49.188,342,1,604.500,500,57.028,47.170,477.750,45.071
3,3,0.100,624.386,521.580,58.904,49.206,351,1,604.500,500,57.028,47.170,477.750,45.071
4,4,0.133,624.362,521.696,58.902,49.217,348,1,604.500,500,57.028,47.170,477.750,45.071
5,5,0.167,624.363,521.717,58.902,49.219,346,1,604.500,500,57.028,47.170,477.750,45.071
6,6,0.200,623.922,521.618,58.861,49.209,350,1,604.500,500,57.028,47.170,477.750,45.071
7,7,0.233,623.791,521.702,58.848,49.217,353,1,604.500,500,57.028,47.170,477.750,45.071
8,8,0.267,623.812,521.548,58.850,49.203,363,1,604.500,500,57.028,47.170,477.750,45.071
9,9,0.300,623.364,521.726,58.808,49.219,378,1,604.500,500,57.028,47.170,477.750,45.071
10,10,0.333,623.650,521.624,58.835,49.210,386,1,604.500,500,57.028,47.170,477.750,45.071
11,11,0.367,623.438,521.619,58.815,49.209,389,1,604.500,500,57.028,47.170,477.750,45.071
12,12,0.400,623.374,521.843,58.809,49.230,398,1,604.500,500,57.028,47.170,477.750,45.071
13,13,0.433,623.072,522.093,58.780,49.254,383,1,604.500,500,57.028,47.170,477.750,45.071
14,14,0.467,623.096,522.272,58.783,49.271,382,1,604.500,500,57.028,47.170,477.750,45.071
15,15,0.500,622.791,522.487,58.754,49.291,389,1,604.500,500,57.028,47.170,477.750,45.071
16,16,0.533,622.625,522.613,58.738,49.303,394,1,604.500,500,57.028,47.170,477.750,45.071
17,17,0.567,622.668,522.667,58.742,49.308,400,1,604.500,500,57.028,47.170,477.750,45.071
18,18,0.600,622.334,522.865,58.711,49.327,412,1,604.500,500,57.028,47.170,477.750,45.071
19,19,0.633,622.085,522.996,58.687,49.339,403,1,604.500,500,57.028,47.170,477.750,45.071
20,20,0.667,621.503,523.292,58.632,49.367,417,1,604.500,500,57.028,47.170,477.750,45.071
21,21,0.700,621.241,523.475,58.608,49.384,431,1,604.500,500,57.028,47.170,477.750,45.071
22,22,0.733,620.797,523.575,58.566,49.394,434,1,604.500,500,57.028,47.170,477.750,45.071
23,23,0.767,620.228,524.050,58.512,49.439,434,1,604.500,500,57.028,47.170,477.750,45.071
24,24,0.800,619.646,524.454,58.457,49.477,454,1,604.500,500,57.028,47.170,477.750,45.071
25,25,0.833,618.893,524.925,58.386,49.521,452,1,604.500,500,57.028,47.170,477.750,45.071
26,26,0.867,618.111,525.327,58.312,49.559,462,1,604.500,500,57.028,47.170,477.750,45.071
27,27,0.900,617.011,525.906,58.209,49.614,476,1,604.500,500,57.028,47.170,477.750,45.071
28,28,0.933,616.466,526.290,58.157,49.650,472,1,604.500,500,57.028,47.170,477.750,45.071
29,29,0.967,615.930,526.591,58.107,49.678,468,1,604.500,500,57.028,47.170,477.750,45.071
30,30,1.000,615.731,526.597,58.088,49.679,477,1,604.500,500,57.028,47.170,477.750,45.071
31,31,1.033,615.699,526.677,58.085,49.687,466,1,604.500,500,57.028,47.170,477.750,45.071
32,32,1.067,615.591,526.831,58.075,49.701,457,1,604.500,500,57.028,47.170,477.750,45.071
33,33,1.100,615.331,527.110,58.050,49.727,469,1,604.500,500,57.028,47.170,477.750,45.071
34,34,1.133,614.897,527.327,58.009,49.748,450,1,604.500,500,57.028,47.170,477.750,45.071
35,35,1.167,614.803,527.382,58.000,49.753,445,1,604.500,500,57.028,47.170,477.750,45.071
36,36,1.200,614.417,527.641,57.964,49.777,448,1,604.500,500,57.028,47.170,477.750,45.071
37,37,1.233,614.387,527.595,57.961,49.773,444,1,604.500,500,57.028,47.170,477.750,45.071
38,38,1.267,614.408,527.474,57.963,49.762,433,1,604.500,500,57.028,47.170,477.750,45.071
39,39,1.300,614.366,527.404,57.959,49.755,446,1,604.500,500,57.028,47.170,477.750,45.071
40,40,1.333,614.351,527.409,57.958,49.756,443,1,604.500,500,57.028,47.170,477.750,45.071
41,41,1.367,614.164,527.464,57.940,49.761,435,1,604.500,500,57.028,47.170,477.750,45.071
42,42,1.400,614.167,527.372,57.940,49.752,448,1,604.500,500,57.028,47.170,477.750,45.071
43,43,1.433,614.212,527.464,57.945,49.761,442,1,604.500,500,57.028,47.170,477.750,45.071
44,44,1.467,614.154,527.431,57.939,49.758,440,1,604.500,500,57.028,47.170,477.750,45.071
45,45,1.500,614.176,527.358,57.941,49.751,449,1,604.500,500,57.028,47.170,477.750,45.071
46,46,1.533,614.401,527.309,57.962,49.746,456,1,604.500,500,57.028,47.170,477.750,45.071
47,47,1.567,614.378,527.356,57.960,49.751,440,1,604.500,500,57.028,47.170,477.750,45.071
48,48,1.600,614.203,527.491,57.944,49.763,448,1,604.500,500,57.028,47.170,477.750,45.071
49,49,1.633,614.390,527.480,57.961,49.762,446,1,604.500,500,57.028,47.170,477.750,45.071
50,50,1.667,614.696,527.496,57.990,49.764,442,1,604.500,500,57.028,47.170,477.750,45.071
51,51,1.700,614.577,527.685,57.979,49.782,451,1,604.500,500,57.028,47.170,477.750,45.071
52,52,1.733,614.485,527.803,57.970,49.793,457,1,604.500,500,57.028,47.170,477.750,45.071
53,53,1.767,614.574,527.821,57.979,49.794,448,1,604.500,500,57.028,47.170,477.750,45.071
54,54,1.800,614.362,528.004,57.959,49.812,460,1,604.500,500,57.028,47.170,477.750,45.071
55,55,1.833,614.342,528.053,57.957,49.816,464,1,604.500,500,57.028,47.170,477.750,45.071
56,56,1.867,614.148,528.140,57.938,49.825,464,1,604.500,500,57.028,47.170,477.750,45.071
57,57,1.900,613.800,528.480,57.906,49.857,476,1,604.500,500,57.028,47.170,477.750,45.071
58,58,1.933,613.557,528.638,57.883,49.872,483,1,604.500,500,57.028,47.170,477.750,45.071
