 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,642.845,470.205,61.223,44.781,391,1,648,494.500,61.714,47.095,474.750,45.214
2,2,0.067,642.598,469.977,61.200,44.760,393,1,648,494.500,61.714,47.095,474.750,45.214
3,3,0.100,642.586,469.883,61.199,44.751,393,1,648,494.500,61.714,47.095,474.750,45.214
4,4,0.133,642.418,470.002,61.183,44.762,389,1,648,494.500,61.714,47.095,474.750,45.214
5,5,0.167,642.316,470.012,61.173,44.763,389,1,648,494.500,61.714,47.095,474.750,45.214
6,6,0.200,642.326,470.352,61.174,44.795,402,1,648,494.500,61.714,47.095,474.750,45.214
7,7,0.233,642.355,470.349,61.177,44.795,387,1,648,494.500,61.714,47.095,474.750,45.214
8,8,0.267,642.768,470.487,61.216,44.808,411,1,648,494.500,61.714,47.095,474.750,45.214
9,9,0.300,642.896,470.466,61.228,44.806,412,1,648,494.500,61.714,47.095,474.750,45.214
10,10,0.333,642.851,470.473,61.224,44.807,410,1,648,494.500,61.714,47.095,474.750,45.214
11,11,0.367,643.031,470.589,61.241,44.818,419,1,648,494.500,61.714,47.095,474.750,45.214
12,12,0.400,643.053,470.577,61.243,44.817,423,1,648,494.500,61.714,47.095,474.750,45.214
13,13,0.433,643.127,470.553,61.250,44.815,414,1,648,494.500,61.714,47.095,474.750,45.214
14,14,0.467,643.515,470.652,61.287,44.824,431,1,648,494.500,61.714,47.095,474.750,45.214
15,15,0.500,643.345,470.773,61.271,44.836,428,1,648,494.500,61.714,47.095,474.750,45.214
16,16,0.533,643.398,470.759,61.276,44.834,431,1,648,494.500,61.714,47.095,474.750,45.214
17,17,0.567,643.452,470.781,61.281,44.836,432,1,648,494.500,61.714,47.095,474.750,45.214
18,18,0.600,643.467,470.699,61.283,44.829,426,1,648,494.500,61.714,47.095,474.750,45.214
19,19,0.633,643.399,470.685,61.276,44.827,423,1,648,494.500,61.714,47.095,474.750,45.214
20,20,0.667,643.471,470.712,61.283,44.830,425,1,648,494.500,61.714,47.095,474.750,45.214
21,21,0.700,643.481,470.693,61.284,44.828,426,1,648,494.500,61.714,47.095,474.750,45.214
22,22,0.733,643.844,470.557,61.318,44.815,416,1,648,494.500,61.714,47.095,474.750,45.214
23,23,0.767,643.707,470.696,61.305,44.828,422,1,648,494.500,61.714,47.095,474.750,45.214
24,24,0.800,643.746,470.777,61.309,44.836,426,1,648,494.500,61.714,47.095,474.750,45.214
25,25,0.833,643.811,470.667,61.315,44.825,420,1,648,494.500,61.714,47.095,474.750,45.214
26,26,0.867,643.745,470.703,61.309,44.829,420,1,648,494.500,61.714,47.095,474.750,45.214
27,27,0.900,643.889,470.783,61.323,44.836,423,1,648,494.500,61.714,47.095,474.750,45.214
28,28,0.933,643.911,470.735,61.325,44.832,415,1,648,494.500,61.714,47.095,474.750,45.214
29,29,0.967,643.920,470.704,61.326,44.829,426,1,648,494.500,61.714,47.095,474.750,45.214
30,30,1.000,644.099,470.750,61.343,44.833,428,1,648,494.500,61.714,47.095,474.750,45.214
31,31,1.033,644.125,470.800,61.345,44.838,426,1,648,494.500,61.714,47.095,474.750,45.214
32,32,1.067,644.018,470.811,61.335,44.839,430,1,648,494.500,61.714,47.095,474.750,45.214
