 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,647.289,521.374,61.065,49.186,170,1,622,486,58.679,45.849,463,43.679
2,2,0.067,647.289,521.374,61.065,49.186,170,1,622,486,58.679,45.849,463,43.679
3,3,0.100,646.183,521.041,60.961,49.155,188,1,622,486,58.679,45.849,463,43.679
4,4,0.133,645.744,521.024,60.919,49.153,194,1,622,486,58.679,45.849,463,43.679
5,5,0.167,645.767,520.994,60.921,49.150,193,1,622,486,58.679,45.849,463,43.679
6,6,0.200,646.983,521.016,61.036,49.152,224,1,622,486,58.679,45.849,463,43.679
7,7,0.233,646.983,521.016,61.036,49.152,224,1,622,486,58.679,45.849,463,43.679
8,8,0.267,646.845,520.907,61.023,49.142,216,1,622,486,58.679,45.849,463,43.679
9,9,0.300,646.533,520.890,60.994,49.141,219,1,622,486,58.679,45.849,463,43.679
10,10,0.333,646.736,520.908,61.013,49.142,220,1,622,486,58.679,45.849,463,43.679
11,11,0.367,647.198,520.939,61.056,49.145,210,1,622,486,58.679,45.849,463,43.679
12,12,0.400,647.205,520.942,61.057,49.145,213,1,622,486,58.679,45.849,463,43.679
13,13,0.433,647.400,521.000,61.075,49.151,217,1,622,486,58.679,45.849,463,43.679
14,14,0.467,647.579,520.974,61.092,49.149,207,1,622,486,58.679,45.849,463,43.679
15,15,0.500,648.021,521.051,61.134,49.156,215,1,622,486,58.679,45.849,463,43.679
16,16,0.533,648.075,520.992,61.139,49.150,215,1,622,486,58.679,45.849,463,43.679
17,17,0.567,648.678,520.998,61.196,49.151,206,1,622,486,58.679,45.849,463,43.679
18,18,0.600,648.463,520.973,61.176,49.148,217,1,622,486,58.679,45.849,463,43.679
19,19,0.633,648.585,520.964,61.187,49.148,216,1,622,486,58.679,45.849,463,43.679
20,20,0.667,649.273,521.185,61.252,49.168,207,1,622,486,58.679,45.849,463,43.679
21,21,0.700,649.091,521.206,61.235,49.170,209,1,622,486,58.679,45.849,463,43.679
22,22,0.733,649.554,521.268,61.279,49.176,210,1,622,486,58.679,45.849,463,43.679
23,23,0.767,649.603,521.314,61.283,49.181,201,1,622,486,58.679,45.849,463,43.679
24,24,0.800,649.647,521.282,61.287,49.178,203,1,622,486,58.679,45.849,463,43.679
25,25,0.833,649.927,521.374,61.314,49.186,206,1,622,486,58.679,45.849,463,43.679
26,26,0.867,649.852,521.366,61.307,49.185,206,1,622,486,58.679,45.849,463,43.679
27,27,0.900,649.841,521.340,61.306,49.183,208,1,622,486,58.679,45.849,463,43.679
28,28,0.933,649.938,521.473,61.315,49.196,213,1,622,486,58.679,45.849,463,43.679
29,29,0.967,649.954,521.451,61.316,49.193,209,1,622,486,58.679,45.849,463,43.679
30,30,1.000,649.759,521.431,61.298,49.192,218,1,622,486,58.679,45.849,463,43.679
31,31,1.033,649.837,521.456,61.305,49.194,214,1,622,486,58.679,45.849,463,43.679
32,32,1.067,649.805,521.506,61.302,49.199,214,1,622,486,58.679,45.849,463,43.679
33,33,1.100,649.729,521.458,61.295,49.194,221,1,622,486,58.679,45.849,463,43.679
34,34,1.133,649.927,521.478,61.314,49.196,217,1,622,486,58.679,45.849,463,43.679
35,35,1.167,650.280,521.579,61.347,49.206,211,1,622,486,58.679,45.849,463,43.679
36,36,1.200,649.875,521.524,61.309,49.200,217,1,622,486,58.679,45.849,463,43.679
37,37,1.233,649.774,521.497,61.299,49.198,214,1,622,486,58.679,45.849,463,43.679
38,38,1.267,650.184,521.652,61.338,49.212,205,1,622,486,58.679,45.849,463,43.679
39,39,1.300,650.214,521.558,61.341,49.204,212,1,622,486,58.679,45.849,463,43.679
40,40,1.333,650.330,521.618,61.352,49.209,210,1,622,486,58.679,45.849,463,43.679
41,41,1.367,650.215,521.492,61.341,49.197,212,1,622,486,58.679,45.849,463,43.679
42,42,1.400,650.292,521.564,61.348,49.204,214,1,622,486,58.679,45.849,463,43.679
43,43,1.433,650.329,521.540,61.352,49.202,217,1,622,486,58.679,45.849,463,43.679
44,44,1.467,650.467,521.597,61.365,49.207,215,1,622,486,58.679,45.849,463,43.679
45,45,1.500,650.545,521.585,61.372,49.206,220,1,622,486,58.679,45.849,463,43.679
