 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,625.645,521.533,59.585,49.670,364,1,600,504,57.143,48,474,45.143
2,2,0.067,624.831,521.382,59.508,49.655,340,1,600,504,57.143,48,474,45.143
3,3,0.100,624.377,521.544,59.464,49.671,347,1,600,504,57.143,48,474,45.143
4,4,0.133,624.314,521.694,59.458,49.685,339,1,600,504,57.143,48,474,45.143
5,5,0.167,624.329,521.705,59.460,49.686,337,1,600,504,57.143,48,474,45.143
6,6,0.200,623.925,521.659,59.421,49.682,345,1,600,504,57.143,48,474,45.143
7,7,0.233,623.796,521.746,59.409,49.690,347,1,600,504,57.143,48,474,45.143
8,8,0.267,623.878,521.540,59.417,49.670,354,1,600,504,57.143,48,474,45.143
9,9,0.300,623.390,521.726,59.370,49.688,376,1,600,504,57.143,48,474,45.143
10,10,0.333,623.667,521.626,59.397,49.679,382,1,600,504,57.143,48,474,45.143
11,11,0.367,623.473,521.595,59.378,49.676,384,1,600,504,57.143,48,474,45.143
12,12,0.400,623.352,521.855,59.367,49.700,394,1,600,504,57.143,48,474,45.143
13,13,0.433,623.119,522.114,59.345,49.725,373,1,600,504,57.143,48,474,45.143
14,14,0.467,623.089,522.260,59.342,49.739,377,1,600,504,57.143,48,474,45.143
15,15,0.500,622.840,522.441,59.318,49.756,379,1,600,504,57.143,48,474,45.143
16,16,0.533,622.643,522.624,59.299,49.774,386,1,600,504,57.143,48,474,45.143
17,17,0.567,622.674,522.678,59.302,49.779,390,1,600,504,57.143,48,474,45.143
18,18,0.600,622.394,522.819,59.276,49.792,406,1,600,504,57.143,48,474,45.143
19,19,0.633,622.136,522.974,59.251,49.807,396,1,600,504,57.143,48,474,45.143
20,20,0.667,621.503,523.291,59.191,49.837,413,1,600,504,57.143,48,474,45.143
21,21,0.700,621.206,523.490,59.162,49.856,425,1,600,504,57.143,48,474,45.143
22,22,0.733,620.875,523.532,59.131,49.860,428,1,600,504,57.143,48,474,45.143
23,23,0.767,620.237,524.040,59.070,49.909,431,1,600,504,57.143,48,474,45.143
24,24,0.800,619.673,524.412,59.016,49.944,445,1,600,504,57.143,48,474,45.143
25,25,0.833,618.908,524.909,58.944,49.991,444,1,600,504,57.143,48,474,45.143
26,26,0.867,618.088,525.330,58.866,50.031,457,1,600,504,57.143,48,474,45.143
27,27,0.900,617.035,525.870,58.765,50.083,466,1,600,504,57.143,48,474,45.143
28,28,0.933,616.519,526.238,58.716,50.118,460,1,600,504,57.143,48,474,45.143
29,29,0.967,615.960,526.547,58.663,50.147,459,1,600,504,57.143,48,474,45.143
30,30,1.000,615.701,526.622,58.638,50.154,469,1,600,504,57.143,48,474,45.143
31,31,1.033,615.668,526.670,58.635,50.159,459,1,600,504,57.143,48,474,45.143
32,32,1.067,615.615,526.808,58.630,50.172,453,1,600,504,57.143,48,474,45.143
33,33,1.100,615.334,527.030,58.603,50.193,458,1,600,504,57.143,48,474,45.143
34,34,1.133,614.934,527.339,58.565,50.223,444,1,600,504,57.143,48,474,45.143
35,35,1.167,614.812,527.404,58.554,50.229,440,1,600,504,57.143,48,474,45.143
36,36,1.200,614.452,527.603,58.519,50.248,442,1,600,504,57.143,48,474,45.143
37,37,1.233,614.381,527.538,58.512,50.242,435,1,600,504,57.143,48,474,45.143
38,38,1.267,614.407,527.469,58.515,50.235,431,1,600,504,57.143,48,474,45.143
39,39,1.300,614.316,527.470,58.506,50.235,435,1,600,504,57.143,48,474,45.143
40,40,1.333,614.319,527.450,58.507,50.233,434,1,600,504,57.143,48,474,45.143
41,41,1.367,614.169,527.456,58.492,50.234,432,1,600,504,57.143,48,474,45.143
42,42,1.400,614.174,527.396,58.493,50.228,443,1,600,504,57.143,48,474,45.143
43,43,1.433,614.271,527.403,58.502,50.229,436,1,600,504,57.143,48,474,45.143
44,44,1.467,614.194,527.378,58.495,50.226,433,1,600,504,57.143,48,474,45.143
45,45,1.500,614.162,527.352,58.492,50.224,445,1,600,504,57.143,48,474,45.143
46,46,1.533,614.375,527.296,58.512,50.219,447,1,600,504,57.143,48,474,45.143
47,47,1.567,614.371,527.354,58.511,50.224,436,1,600,504,57.143,48,474,45.143
48,48,1.600,614.221,527.485,58.497,50.237,443,1,600,504,57.143,48,474,45.143
49,49,1.633,614.446,527.479,58.519,50.236,439,1,600,504,57.143,48,474,45.143
50,50,1.667,614.708,527.477,58.544,50.236,435,1,600,504,57.143,48,474,45.143
51,51,1.700,614.567,527.677,58.530,50.255,445,1,600,504,57.143,48,474,45.143
52,52,1.733,614.509,527.800,58.525,50.267,449,1,600,504,57.143,48,474,45.143
53,53,1.767,614.616,527.792,58.535,50.266,441,1,600,504,57.143,48,474,45.143
54,54,1.800,614.356,528.039,58.510,50.289,448,1,600,504,57.143,48,474,45.143
55,55,1.833,614.296,528.097,58.504,50.295,454,1,600,504,57.143,48,474,45.143
56,56,1.867,614.165,528.118,58.492,50.297,455,1,600,504,57.143,48,474,45.143
57,57,1.900,613.793,528.475,58.456,50.331,468,1,600,504,57.143,48,474,45.143
58,58,1.933,613.521,528.675,58.431,50.350,473,1,600,504,57.143,48,474,45.143
59,59,1.967,613.309,528.953,58.410,50.376,468,1,600,504,57.143,48,474,45.143
60,60,2.000,612.920,529.310,58.373,50.410,483,1,600,504,57.143,48,474,45.143
61,61,2.033,612.378,529.936,58.322,50.470,476,1,600,504,57.143,48,474,45.143
62,62,2.067,611.981,530.345,58.284,50.509,475,1,600,504,57.143,48,474,45.143
63,63,2.100,611.852,530.588,58.272,50.532,483,1,600,504,57.143,48,474,45.143
64,64,2.133,611.758,530.645,58.263,50.538,479,1,600,504,57.143,48,474,45.143
65,65,2.167,611.412,530.970,58.230,50.569,469,1,600,504,57.143,48,474,45.143
66,66,2.200,611.074,531.291,58.198,50.599,474,1,600,504,57.143,48,474,45.143
67,67,2.233,610.953,531.353,58.186,50.605,479,1,600,504,57.143,48,474,45.143
68,68,2.267,610.345,531.815,58.128,50.649,473,1,600,504,57.143,48,474,45.143
69,69,2.300,610.074,532.157,58.102,50.682,480,1,600,504,57.143,48,474,45.143
70,70,2.333,609.445,532.545,58.042,50.719,485,1,600,504,57.143,48,474,45.143
71,71,2.367,609.110,532.761,58.010,50.739,475,1,600,504,57.143,48,474,45.143
72,72,2.400,608.761,533.075,57.977,50.769,482,1,600,504,57.143,48,474,45.143
73,73,2.433,608.554,533.286,57.958,50.789,465,1,600,504,57.143,48,474,45.143
74,74,2.467,608.592,533.220,57.961,50.783,455,1,600,504,57.143,48,474,45.143
75,75,2.500,608.192,533.486,57.923,50.808,464,1,600,504,57.143,48,474,45.143
76,76,2.533,608.188,533.545,57.923,50.814,466,1,600,504,57.143,48,474,45.143
77,77,2.567,608.132,533.574,57.917,50.817,461,1,600,504,57.143,48,474,45.143
78,78,2.600,608.119,533.643,57.916,50.823,464,1,600,504,57.143,48,474,45.143
79,79,2.633,608.292,533.488,57.933,50.808,469,1,600,504,57.143,48,474,45.143
80,80,2.667,608.207,533.541,57.924,50.813,453,1,600,504,57.143,48,474,45.143
81,81,2.700,608.286,533.538,57.932,50.813,464,1,600,504,57.143,48,474,45.143
82,82,2.733,608.310,533.424,57.934,50.802,469,1,600,504,57.143,48,474,45.143
83,83,2.767,608.450,533.371,57.948,50.797,463,1,600,504,57.143,48,474,45.143
84,84,2.800,608.395,533.346,57.942,50.795,462,1,600,504,57.143,48,474,45.143
85,85,2.833,608.426,533.381,57.945,50.798,467,1,600,504,57.143,48,474,45.143
86,86,2.867,608.360,533.456,57.939,50.805,469,1,600,504,57.143,48,474,45.143
87,87,2.900,608.387,533.411,57.942,50.801,472,1,600,504,57.143,48,474,45.143
88,88,2.933,608.480,533.462,57.950,50.806,476,1,600,504,57.143,48,474,45.143
89,89,2.967,608.637,533.327,57.965,50.793,469,1,600,504,57.143,48,474,45.143
90,90,3.000,608.451,533.407,57.948,50.801,470,1,600,504,57.143,48,474,45.143
91,91,3.033,608.324,533.556,57.936,50.815,477,1,600,504,57.143,48,474,45.143
92,92,3.067,608.104,533.761,57.915,50.834,473,1,600,504,57.143,48,474,45.143
93,93,3.100,607.678,534.188,57.874,50.875,482,1,600,504,57.143,48,474,45.143
