 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,663.632,506.624,62.607,47.795,278,1,645.500,497.500,60.896,46.934,472,44.528
2,2,0.067,663.632,506.624,62.607,47.795,278,1,645.500,497.500,60.896,46.934,472,44.528
3,3,0.100,663.632,506.624,62.607,47.795,278,1,645.500,497.500,60.896,46.934,472,44.528
4,4,0.133,663.589,506.901,62.603,47.821,279,1,645.500,497.500,60.896,46.934,472,44.528
5,5,0.167,663.533,506.789,62.597,47.810,286,1,645.500,497.500,60.896,46.934,472,44.528
6,6,0.200,663.545,506.764,62.599,47.808,287,1,645.500,497.500,60.896,46.934,472,44.528
7,7,0.233,663.570,506.763,62.601,47.808,287,1,645.500,497.500,60.896,46.934,472,44.528
8,8,0.267,663.592,506.736,62.603,47.805,287,1,645.500,497.500,60.896,46.934,472,44.528
9,9,0.300,663.478,506.809,62.592,47.812,289,1,645.500,497.500,60.896,46.934,472,44.528
10,10,0.333,663.496,506.599,62.594,47.792,292,1,645.500,497.500,60.896,46.934,472,44.528
11,11,0.367,663.372,506.383,62.582,47.772,303,1,645.500,497.500,60.896,46.934,472,44.528
12,12,0.400,663.438,506.390,62.589,47.773,304,1,645.500,497.500,60.896,46.934,472,44.528
13,13,0.433,663.437,506.381,62.588,47.772,302,1,645.500,497.500,60.896,46.934,472,44.528
14,14,0.467,663.437,506.382,62.588,47.772,302,1,645.500,497.500,60.896,46.934,472,44.528
15,15,0.500,663.625,506.368,62.606,47.771,298,1,645.500,497.500,60.896,46.934,472,44.528
16,16,0.533,663.648,506.503,62.608,47.783,292,1,645.500,497.500,60.896,46.934,472,44.528
17,17,0.567,663.605,506.451,62.604,47.778,289,1,645.500,497.500,60.896,46.934,472,44.528
18,18,0.600,663.599,506.435,62.604,47.777,289,1,645.500,497.500,60.896,46.934,472,44.528
19,19,0.633,663.523,506.338,62.597,47.768,288,1,645.500,497.500,60.896,46.934,472,44.528
20,20,0.667,663.550,506.270,62.599,47.761,298,1,645.500,497.500,60.896,46.934,472,44.528
21,21,0.700,663.560,506.339,62.600,47.768,297,1,645.500,497.500,60.896,46.934,472,44.528
22,22,0.733,663.658,506.395,62.609,47.773,293,1,645.500,497.500,60.896,46.934,472,44.528
23,23,0.767,663.404,506.411,62.585,47.775,297,1,645.500,497.500,60.896,46.934,472,44.528
24,24,0.800,663.424,506.175,62.587,47.752,299,1,645.500,497.500,60.896,46.934,472,44.528
25,25,0.833,663.490,506.219,62.593,47.757,285,1,645.500,497.500,60.896,46.934,472,44.528
26,26,0.867,663.481,506.404,62.593,47.774,299,1,645.500,497.500,60.896,46.934,472,44.528
27,27,0.900,663.514,506.319,62.596,47.766,297,1,645.500,497.500,60.896,46.934,472,44.528
28,28,0.933,663.469,506.262,62.591,47.761,296,1,645.500,497.500,60.896,46.934,472,44.528
29,29,0.967,663.521,506.399,62.596,47.774,299,1,645.500,497.500,60.896,46.934,472,44.528
30,30,1.000,663.539,506.404,62.598,47.774,300,1,645.500,497.500,60.896,46.934,472,44.528
31,31,1.033,663.499,506.284,62.594,47.763,296,1,645.500,497.500,60.896,46.934,472,44.528
32,32,1.067,663.503,506.290,62.595,47.763,296,1,645.500,497.500,60.896,46.934,472,44.528
33,33,1.100,663.471,506.282,62.592,47.762,297,1,645.500,497.500,60.896,46.934,472,44.528
34,34,1.133,663.495,506.396,62.594,47.773,293,1,645.500,497.500,60.896,46.934,472,44.528
35,35,1.167,663.448,506.289,62.589,47.763,297,1,645.500,497.500,60.896,46.934,472,44.528
36,36,1.200,663.433,506.185,62.588,47.753,300,1,645.500,497.500,60.896,46.934,472,44.528
37,37,1.233,663.499,506.268,62.594,47.761,299,1,645.500,497.500,60.896,46.934,472,44.528
38,38,1.267,663.437,506.188,62.588,47.754,302,1,645.500,497.500,60.896,46.934,472,44.528
39,39,1.300,663.341,506.203,62.579,47.755,302,1,645.500,497.500,60.896,46.934,472,44.528
40,40,1.333,663.527,506.305,62.597,47.765,293,1,645.500,497.500,60.896,46.934,472,44.528
41,41,1.367,663.525,506.316,62.597,47.766,293,1,645.500,497.500,60.896,46.934,472,44.528
42,42,1.400,663.440,506.220,62.589,47.757,303,1,645.500,497.500,60.896,46.934,472,44.528
43,43,1.433,663.520,506.254,62.596,47.760,298,1,645.500,497.500,60.896,46.934,472,44.528
44,44,1.467,663.438,506.186,62.589,47.753,303,1,645.500,497.500,60.896,46.934,472,44.528
45,45,1.500,663.444,506.188,62.589,47.754,303,1,645.500,497.500,60.896,46.934,472,44.528
46,46,1.533,663.514,506.253,62.596,47.760,299,1,645.500,497.500,60.896,46.934,472,44.528
47,47,1.567,663.432,506.306,62.588,47.765,310,1,645.500,497.500,60.896,46.934,472,44.528
48,48,1.600,663.465,506.307,62.591,47.765,296,1,645.500,497.500,60.896,46.934,472,44.528
49,49,1.633,663.522,506.267,62.596,47.761,300,1,645.500,497.500,60.896,46.934,472,44.528
