 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
2,2,0.067,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
3,3,0.100,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
4,4,0.133,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
5,5,0.167,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
6,6,0.200,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
7,7,0.233,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
8,8,0.267,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
9,9,0.300,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
10,10,0.333,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
11,11,0.367,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
12,12,0.400,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
13,13,0.433,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
14,14,0.467,NaN,NaN,NaN,NaN,NaN,0,651,497,61.415,46.887,471,44.434
15,15,0.500,663.364,525.959,62.582,49.619,301,1,651,497,61.415,46.887,471,44.434
16,16,0.533,663.431,525.612,62.588,49.586,302,1,651,497,61.415,46.887,471,44.434
17,17,0.567,663.444,525.544,62.589,49.580,302,1,651,497,61.415,46.887,471,44.434
18,18,0.600,663.505,525.800,62.595,49.604,307,1,651,497,61.415,46.887,471,44.434
19,19,0.633,663.480,526.042,62.592,49.627,300,1,651,497,61.415,46.887,471,44.434
20,20,0.667,663.543,525.739,62.598,49.598,307,1,651,497,61.415,46.887,471,44.434
21,21,0.700,663.612,525.396,62.605,49.566,314,1,651,497,61.415,46.887,471,44.434
22,22,0.733,663.521,525.495,62.596,49.575,302,1,651,497,61.415,46.887,471,44.434
