 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,NaN,NaN,NaN,NaN,NaN,0,579,480,55.143,45.714,472.500,45
2,2,0.067,NaN,NaN,NaN,NaN,NaN,0,579,480,55.143,45.714,472.500,45
3,3,0.100,NaN,NaN,NaN,NaN,NaN,0,579,480,55.143,45.714,472.500,45
4,4,0.133,570.889,472.369,54.370,44.987,335,1,579,480,55.143,45.714,472.500,45
5,5,0.167,NaN,NaN,NaN,NaN,NaN,0,579,480,55.143,45.714,472.500,45
6,6,0.200,570.997,472.327,54.381,44.984,357,1,579,480,55.143,45.714,472.500,45
7,7,0.233,571.109,472.309,54.391,44.982,356,1,579,480,55.143,45.714,472.500,45
8,8,0.267,571.109,472.309,54.391,44.982,356,1,579,480,55.143,45.714,472.500,45
9,9,0.300,571.128,472.224,54.393,44.974,357,1,579,480,55.143,45.714,472.500,45
10,10,0.333,571.329,472.176,54.412,44.969,360,1,579,480,55.143,45.714,472.500,45
11,11,0.367,571.260,472.117,54.406,44.964,360,1,579,480,55.143,45.714,472.500,45
12,12,0.400,571.304,472.074,54.410,44.959,362,1,579,480,55.143,45.714,472.500,45
13,13,0.433,571.060,472.482,54.387,44.998,356,1,579,480,55.143,45.714,472.500,45
14,14,0.467,571.160,472.382,54.396,44.989,366,1,579,480,55.143,45.714,472.500,45
15,15,0.500,570.831,472.528,54.365,45.003,356,1,579,480,55.143,45.714,472.500,45
16,16,0.533,571.131,472.469,54.393,44.997,362,1,579,480,55.143,45.714,472.500,45
17,17,0.567,570.770,472.574,54.359,45.007,362,1,579,480,55.143,45.714,472.500,45
18,18,0.600,571.041,472.450,54.385,44.995,368,1,579,480,55.143,45.714,472.500,45
19,19,0.633,570.808,472.560,54.363,45.006,359,1,579,480,55.143,45.714,472.500,45
20,20,0.667,570.838,472.575,54.366,45.007,359,1,579,480,55.143,45.714,472.500,45
21,21,0.700,570.679,472.649,54.350,45.014,361,1,579,480,55.143,45.714,472.500,45
22,22,0.733,570.834,472.547,54.365,45.004,359,1,579,480,55.143,45.714,472.500,45
