 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,616.395,470.776,58.150,44.413,301,1,587,495,55.377,46.698,475,44.811
2,2,0.067,616.602,470.407,58.170,44.378,307,1,587,495,55.377,46.698,475,44.811
3,3,0.100,616.542,470.022,58.164,44.342,302,1,587,495,55.377,46.698,475,44.811
4,4,0.133,616.719,469.908,58.181,44.331,300,1,587,495,55.377,46.698,475,44.811
5,5,0.167,616.855,469.795,58.194,44.320,315,1,587,495,55.377,46.698,475,44.811
6,6,0.200,616.507,470.307,58.161,44.369,330,1,587,495,55.377,46.698,475,44.811
7,7,0.233,616.551,470.317,58.165,44.370,353,1,587,495,55.377,46.698,475,44.811
8,8,0.267,616.509,470.374,58.161,44.375,344,1,587,495,55.377,46.698,475,44.811
9,9,0.300,616.985,469.953,58.206,44.335,329,1,587,495,55.377,46.698,475,44.811
10,10,0.333,617.252,469.950,58.231,44.335,332,1,587,495,55.377,46.698,475,44.811
11,11,0.367,617.275,469.927,58.234,44.333,347,1,587,495,55.377,46.698,475,44.811
12,12,0.400,617.644,469.701,58.268,44.311,332,1,587,495,55.377,46.698,475,44.811
13,13,0.433,617.794,469.677,58.282,44.309,336,1,587,495,55.377,46.698,475,44.811
14,14,0.467,618.122,469.635,58.313,44.305,349,1,587,495,55.377,46.698,475,44.811
15,15,0.500,618.349,469.490,58.335,44.292,342,1,587,495,55.377,46.698,475,44.811
16,16,0.533,618.614,469.490,58.360,44.291,340,1,587,495,55.377,46.698,475,44.811
17,17,0.567,618.793,469.523,58.377,44.295,349,1,587,495,55.377,46.698,475,44.811
18,18,0.600,618.805,469.531,58.378,44.295,346,1,587,495,55.377,46.698,475,44.811
19,19,0.633,618.849,469.521,58.382,44.294,346,1,587,495,55.377,46.698,475,44.811
20,20,0.667,618.995,469.519,58.396,44.294,352,1,587,495,55.377,46.698,475,44.811
21,21,0.700,619.132,469.526,58.409,44.295,351,1,587,495,55.377,46.698,475,44.811
22,22,0.733,619.197,469.529,58.415,44.295,350,1,587,495,55.377,46.698,475,44.811
23,23,0.767,619.359,469.495,58.430,44.292,352,1,587,495,55.377,46.698,475,44.811
24,24,0.800,619.673,469.484,58.460,44.291,351,1,587,495,55.377,46.698,475,44.811
25,25,0.833,619.800,469.471,58.472,44.290,355,1,587,495,55.377,46.698,475,44.811
26,26,0.867,619.865,469.541,58.478,44.296,360,1,587,495,55.377,46.698,475,44.811
27,27,0.900,620.120,469.591,58.502,44.301,362,1,587,495,55.377,46.698,475,44.811
28,28,0.933,620.188,469.552,58.508,44.297,367,1,587,495,55.377,46.698,475,44.811
29,29,0.967,620.289,469.572,58.518,44.299,371,1,587,495,55.377,46.698,475,44.811
