 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
2,2,0.067,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
3,3,0.100,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
4,4,0.133,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
5,5,0.167,613.509,495.785,58.429,47.218,309,1,580,485,55.238,46.190,472.500,45
6,6,0.200,613.882,496.032,58.465,47.241,314,1,580,485,55.238,46.190,472.500,45
7,7,0.233,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
8,8,0.267,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
9,9,0.300,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
10,10,0.333,613.903,495.946,58.467,47.233,312,1,580,485,55.238,46.190,472.500,45
11,11,0.367,614.872,496.173,58.559,47.255,329,1,580,485,55.238,46.190,472.500,45
12,12,0.400,615.122,496.108,58.583,47.248,324,1,580,485,55.238,46.190,472.500,45
13,13,0.433,615.395,496.172,58.609,47.254,322,1,580,485,55.238,46.190,472.500,45
14,14,0.467,614.924,496.173,58.564,47.255,322,1,580,485,55.238,46.190,472.500,45
15,15,0.500,615.665,496.490,58.635,47.285,330,1,580,485,55.238,46.190,472.500,45
16,16,0.533,616.029,496.708,58.669,47.305,329,1,580,485,55.238,46.190,472.500,45
17,17,0.567,616.409,496.757,58.706,47.310,331,1,580,485,55.238,46.190,472.500,45
18,18,0.600,616.887,496.925,58.751,47.326,324,1,580,485,55.238,46.190,472.500,45
19,19,0.633,617.061,497.039,58.768,47.337,326,1,580,485,55.238,46.190,472.500,45
20,20,0.667,617.288,497.181,58.789,47.351,322,1,580,485,55.238,46.190,472.500,45
21,21,0.700,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
22,22,0.733,618.328,497.625,58.888,47.393,309,1,580,485,55.238,46.190,472.500,45
23,23,0.767,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
24,24,0.800,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
25,25,0.833,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
26,26,0.867,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
27,27,0.900,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
28,28,0.933,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
29,29,0.967,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
30,30,1.000,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
31,31,1.033,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
32,32,1.067,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
33,33,1.100,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
34,34,1.133,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
35,35,1.167,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
36,36,1.200,618.975,498.516,58.950,47.478,315,1,580,485,55.238,46.190,472.500,45
37,37,1.233,619.018,498.642,58.954,47.490,310,1,580,485,55.238,46.190,472.500,45
38,38,1.267,619.306,498.944,58.982,47.518,318,1,580,485,55.238,46.190,472.500,45
39,39,1.300,619.561,499.031,59.006,47.527,310,1,580,485,55.238,46.190,472.500,45
40,40,1.333,619.799,499.339,59.028,47.556,313,1,580,485,55.238,46.190,472.500,45
41,41,1.367,620.054,499.308,59.053,47.553,314,1,580,485,55.238,46.190,472.500,45
42,42,1.400,620.271,499.558,59.073,47.577,316,1,580,485,55.238,46.190,472.500,45
43,43,1.433,620.735,499.800,59.118,47.600,324,1,580,485,55.238,46.190,472.500,45
44,44,1.467,621.374,500.168,59.178,47.635,322,1,580,485,55.238,46.190,472.500,45
45,45,1.500,621.925,500.587,59.231,47.675,329,1,580,485,55.238,46.190,472.500,45
46,46,1.533,622.148,500.804,59.252,47.696,334,1,580,485,55.238,46.190,472.500,45
47,47,1.567,622.564,501.020,59.292,47.716,324,1,580,485,55.238,46.190,472.500,45
48,48,1.600,622.853,501.177,59.319,47.731,323,1,580,485,55.238,46.190,472.500,45
49,49,1.633,623.583,501.619,59.389,47.773,323,1,580,485,55.238,46.190,472.500,45
50,50,1.667,624.260,502.059,59.453,47.815,315,1,580,485,55.238,46.190,472.500,45
51,51,1.700,624.477,502.287,59.474,47.837,312,1,580,485,55.238,46.190,472.500,45
52,52,1.733,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
53,53,1.767,625.528,502.845,59.574,47.890,320,1,580,485,55.238,46.190,472.500,45
54,54,1.800,625.803,502.911,59.600,47.896,313,1,580,485,55.238,46.190,472.500,45
55,55,1.833,625.886,502.997,59.608,47.904,314,1,580,485,55.238,46.190,472.500,45
56,56,1.867,626.549,503.235,59.671,47.927,310,1,580,485,55.238,46.190,472.500,45
57,57,1.900,626.730,503.175,59.689,47.921,318,1,580,485,55.238,46.190,472.500,45
58,58,1.933,627.015,503.176,59.716,47.922,318,1,580,485,55.238,46.190,472.500,45
59,59,1.967,627.165,503.185,59.730,47.922,314,1,580,485,55.238,46.190,472.500,45
60,60,2.000,627.302,503.297,59.743,47.933,320,1,580,485,55.238,46.190,472.500,45
61,61,2.033,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
62,62,2.067,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
63,63,2.100,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
64,64,2.133,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
65,65,2.167,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
66,66,2.200,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
67,67,2.233,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
68,68,2.267,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
69,69,2.300,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
70,70,2.333,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
71,71,2.367,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
72,72,2.400,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
73,73,2.433,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
74,74,2.467,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
75,75,2.500,630.605,505.750,60.058,48.167,332,1,580,485,55.238,46.190,472.500,45
76,76,2.533,631.193,505.958,60.114,48.186,325,1,580,485,55.238,46.190,472.500,45
77,77,2.567,631.582,506.154,60.151,48.205,320,1,580,485,55.238,46.190,472.500,45
78,78,2.600,632.158,506.468,60.206,48.235,332,1,580,485,55.238,46.190,472.500,45
79,79,2.633,632.553,506.646,60.243,48.252,317,1,580,485,55.238,46.190,472.500,45
80,80,2.667,633.497,507.342,60.333,48.318,329,1,580,485,55.238,46.190,472.500,45
81,81,2.700,634.112,507.695,60.392,48.352,322,1,580,485,55.238,46.190,472.500,45
82,82,2.733,634.316,507.881,60.411,48.370,319,1,580,485,55.238,46.190,472.500,45
83,83,2.767,634.681,508.118,60.446,48.392,317,1,580,485,55.238,46.190,472.500,45
84,84,2.800,635.204,508.595,60.496,48.438,308,1,580,485,55.238,46.190,472.500,45
85,85,2.833,635.390,508.665,60.513,48.444,308,1,580,485,55.238,46.190,472.500,45
86,86,2.867,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
87,87,2.900,636.402,508.886,60.610,48.465,310,1,580,485,55.238,46.190,472.500,45
88,88,2.933,636.419,508.750,60.611,48.452,310,1,580,485,55.238,46.190,472.500,45
89,89,2.967,636.201,508.492,60.591,48.428,315,1,580,485,55.238,46.190,472.500,45
90,90,3.000,636.060,508.329,60.577,48.412,321,1,580,485,55.238,46.190,472.500,45
91,91,3.033,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
92,92,3.067,NaN,NaN,NaN,NaN,NaN,0,580,485,55.238,46.190,472.500,45
93,93,3.100,636.084,508.267,60.579,48.406,317,1,580,485,55.238,46.190,472.500,45
94,94,3.133,636.222,508.315,60.593,48.411,317,1,580,485,55.238,46.190,472.500,45
95,95,3.167,636.285,508.432,60.599,48.422,320,1,580,485,55.238,46.190,472.500,45
96,96,3.200,636.247,508.304,60.595,48.410,323,1,580,485,55.238,46.190,472.500,45
97,97,3.233,636.279,508.289,60.598,48.408,309,1,580,485,55.238,46.190,472.500,45
98,98,3.267,636.482,508.414,60.617,48.420,308,1,580,485,55.238,46.190,472.500,45
99,99,3.300,637.030,508.745,60.669,48.452,323,1,580,485,55.238,46.190,472.500,45
100,100,3.333,637.299,508.964,60.695,48.473,322,1,580,485,55.238,46.190,472.500,45
101,101,3.367,637.744,509.250,60.737,48.500,323,1,580,485,55.238,46.190,472.500,45
102,102,3.400,638.336,509.701,60.794,48.543,331,1,580,485,55.238,46.190,472.500,45
103,103,3.433,638.682,509.894,60.827,48.561,330,1,580,485,55.238,46.190,472.500,45
104,104,3.467,639.106,510.130,60.867,48.584,339,1,580,485,55.238,46.190,472.500,45
105,105,3.500,639.422,510.339,60.897,48.604,338,1,580,485,55.238,46.190,472.500,45
106,106,3.533,639.911,510.651,60.944,48.633,336,1,580,485,55.238,46.190,472.500,45
107,107,3.567,640.078,510.810,60.960,48.649,343,1,580,485,55.238,46.190,472.500,45
108,108,3.600,640.560,511.019,61.006,48.669,335,1,580,485,55.238,46.190,472.500,45
109,109,3.633,641.484,511.607,61.094,48.724,347,1,580,485,55.238,46.190,472.500,45
