 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,601.106,501.693,56.178,46.887,324,1,579,489,54.112,45.701,473,44.206
2,2,0.067,601.088,501.248,56.176,46.846,320,1,579,489,54.112,45.701,473,44.206
3,3,0.100,601.088,501.248,56.176,46.846,320,1,579,489,54.112,45.701,473,44.206
4,4,0.133,600.963,501.124,56.165,46.834,323,1,579,489,54.112,45.701,473,44.206
5,5,0.167,600.934,501.257,56.162,46.846,322,1,579,489,54.112,45.701,473,44.206
6,6,0.200,600.983,501.116,56.167,46.833,326,1,579,489,54.112,45.701,473,44.206
7,7,0.233,600.977,501.143,56.166,46.836,326,1,579,489,54.112,45.701,473,44.206
8,8,0.267,600.783,500.998,56.148,46.822,338,1,579,489,54.112,45.701,473,44.206
9,9,0.300,600.953,501.173,56.164,46.839,367,1,579,489,54.112,45.701,473,44.206
10,10,0.333,600.700,501.143,56.140,46.836,373,1,579,489,54.112,45.701,473,44.206
11,11,0.367,600.727,501.175,56.143,46.839,371,1,579,489,54.112,45.701,473,44.206
12,12,0.400,600.543,501.258,56.126,46.847,374,1,579,489,54.112,45.701,473,44.206
13,13,0.433,600.547,501.214,56.126,46.842,375,1,579,489,54.112,45.701,473,44.206
14,14,0.467,600.487,501.175,56.120,46.839,373,1,579,489,54.112,45.701,473,44.206
15,15,0.500,600.489,501.175,56.120,46.839,373,1,579,489,54.112,45.701,473,44.206
16,16,0.533,600.425,501.191,56.114,46.840,374,1,579,489,54.112,45.701,473,44.206
17,17,0.567,600.425,501.191,56.114,46.840,374,1,579,489,54.112,45.701,473,44.206
18,18,0.600,600.390,501.241,56.111,46.845,374,1,579,489,54.112,45.701,473,44.206
19,19,0.633,600.424,501.186,56.114,46.840,374,1,579,489,54.112,45.701,473,44.206
20,20,0.667,600.558,501.409,56.127,46.861,379,1,579,489,54.112,45.701,473,44.206
21,21,0.700,600.455,501.446,56.117,46.864,381,1,579,489,54.112,45.701,473,44.206
22,22,0.733,600.492,501.480,56.121,46.867,382,1,579,489,54.112,45.701,473,44.206
23,23,0.767,600.502,501.544,56.122,46.873,380,1,579,489,54.112,45.701,473,44.206
24,24,0.800,600.570,501.837,56.128,46.901,380,1,579,489,54.112,45.701,473,44.206
25,25,0.833,600.450,501.944,56.117,46.911,376,1,579,489,54.112,45.701,473,44.206
26,26,0.867,600.464,502.081,56.118,46.923,387,1,579,489,54.112,45.701,473,44.206
27,27,0.900,600.451,502.066,56.117,46.922,385,1,579,489,54.112,45.701,473,44.206
28,28,0.933,600.025,502.223,56.077,46.937,393,1,579,489,54.112,45.701,473,44.206
29,29,0.967,599.972,502.261,56.072,46.940,395,1,579,489,54.112,45.701,473,44.206
30,30,1.000,599.832,502.315,56.059,46.945,399,1,579,489,54.112,45.701,473,44.206
31,31,1.033,599.776,502.359,56.054,46.949,400,1,579,489,54.112,45.701,473,44.206
32,32,1.067,599.650,502.352,56.042,46.949,397,1,579,489,54.112,45.701,473,44.206
33,33,1.100,599.784,502.508,56.055,46.963,398,1,579,489,54.112,45.701,473,44.206
34,34,1.133,599.660,502.494,56.043,46.962,396,1,579,489,54.112,45.701,473,44.206
35,35,1.167,599.527,502.506,56.031,46.963,393,1,579,489,54.112,45.701,473,44.206
36,36,1.200,599.578,502.580,56.035,46.970,396,1,579,489,54.112,45.701,473,44.206
37,37,1.233,599.628,502.569,56.040,46.969,392,1,579,489,54.112,45.701,473,44.206
38,38,1.267,599.241,502.819,56.004,46.992,404,1,579,489,54.112,45.701,473,44.206
39,39,1.300,599.441,503.071,56.023,47.016,408,1,579,489,54.112,45.701,473,44.206
40,40,1.333,599.317,503.185,56.011,47.027,395,1,579,489,54.112,45.701,473,44.206
41,41,1.367,599.096,503.394,55.990,47.046,402,1,579,489,54.112,45.701,473,44.206
42,42,1.400,599.383,503.510,56.017,47.057,406,1,579,489,54.112,45.701,473,44.206
43,43,1.433,599.396,503.366,56.018,47.044,392,1,579,489,54.112,45.701,473,44.206
44,44,1.467,599.318,503.499,56.011,47.056,389,1,579,489,54.112,45.701,473,44.206
45,45,1.500,599.151,503.582,55.995,47.064,391,1,579,489,54.112,45.701,473,44.206
46,46,1.533,598.958,503.755,55.977,47.080,393,1,579,489,54.112,45.701,473,44.206
47,47,1.567,598.773,503.796,55.960,47.084,388,1,579,489,54.112,45.701,473,44.206
48,48,1.600,598.699,503.882,55.953,47.092,393,1,579,489,54.112,45.701,473,44.206
49,49,1.633,598.973,503.687,55.979,47.074,384,1,579,489,54.112,45.701,473,44.206
50,50,1.667,598.717,503.696,55.955,47.074,387,1,579,489,54.112,45.701,473,44.206
51,51,1.700,598.572,503.848,55.941,47.089,388,1,579,489,54.112,45.701,473,44.206
52,52,1.733,598.525,503.933,55.937,47.096,388,1,579,489,54.112,45.701,473,44.206
53,53,1.767,598.385,504.025,55.924,47.105,389,1,579,489,54.112,45.701,473,44.206
54,54,1.800,598.370,504.218,55.922,47.123,389,1,579,489,54.112,45.701,473,44.206
55,55,1.833,598.210,504.316,55.907,47.132,391,1,579,489,54.112,45.701,473,44.206
56,56,1.867,598.111,504.315,55.898,47.132,399,1,579,489,54.112,45.701,473,44.206
57,57,1.900,597.781,504.517,55.867,47.151,412,1,579,489,54.112,45.701,473,44.206
58,58,1.933,597.849,504.569,55.874,47.156,406,1,579,489,54.112,45.701,473,44.206
59,59,1.967,597.737,504.563,55.863,47.155,401,1,579,489,54.112,45.701,473,44.206
60,60,2.000,597.448,504.611,55.836,47.160,399,1,579,489,54.112,45.701,473,44.206
61,61,2.033,597.553,504.614,55.846,47.160,388,1,579,489,54.112,45.701,473,44.206
62,62,2.067,597.409,504.733,55.833,47.171,389,1,579,489,54.112,45.701,473,44.206
63,63,2.100,597.274,504.777,55.820,47.175,390,1,579,489,54.112,45.701,473,44.206
64,64,2.133,597.018,504.772,55.796,47.175,378,1,579,489,54.112,45.701,473,44.206
65,65,2.167,596.954,505.028,55.790,47.199,376,1,579,489,54.112,45.701,473,44.206
66,66,2.200,596.692,505.383,55.766,47.232,384,1,579,489,54.112,45.701,473,44.206
67,67,2.233,596.280,505.557,55.727,47.248,381,1,579,489,54.112,45.701,473,44.206
68,68,2.267,596.197,505.729,55.719,47.264,387,1,579,489,54.112,45.701,473,44.206
69,69,2.300,596.056,505.856,55.706,47.276,396,1,579,489,54.112,45.701,473,44.206
70,70,2.333,595.947,505.780,55.696,47.269,386,1,579,489,54.112,45.701,473,44.206
71,71,2.367,595.738,505.947,55.676,47.285,391,1,579,489,54.112,45.701,473,44.206
72,72,2.400,595.886,506.089,55.690,47.298,388,1,579,489,54.112,45.701,473,44.206
73,73,2.433,595.511,506.458,55.655,47.333,390,1,579,489,54.112,45.701,473,44.206
74,74,2.467,595.272,506.996,55.633,47.383,382,1,579,489,54.112,45.701,473,44.206
75,75,2.500,595.342,507.194,55.639,47.401,382,1,579,489,54.112,45.701,473,44.206
76,76,2.533,595.481,507.537,55.652,47.433,390,1,579,489,54.112,45.701,473,44.206
77,77,2.567,595.316,507.773,55.637,47.455,391,1,579,489,54.112,45.701,473,44.206
78,78,2.600,595.121,507.885,55.619,47.466,398,1,579,489,54.112,45.701,473,44.206
79,79,2.633,594.780,508.089,55.587,47.485,404,1,579,489,54.112,45.701,473,44.206
80,80,2.667,594.665,508.193,55.576,47.495,408,1,579,489,54.112,45.701,473,44.206
81,81,2.700,594.641,508.190,55.574,47.494,406,1,579,489,54.112,45.701,473,44.206
82,82,2.733,594.582,508.310,55.568,47.506,406,1,579,489,54.112,45.701,473,44.206
83,83,2.767,594.774,508.138,55.586,47.490,394,1,579,489,54.112,45.701,473,44.206
84,84,2.800,594.221,508.581,55.535,47.531,412,1,579,489,54.112,45.701,473,44.206
85,85,2.833,593.935,508.575,55.508,47.530,410,1,579,489,54.112,45.701,473,44.206
86,86,2.867,594.088,508.452,55.522,47.519,408,1,579,489,54.112,45.701,473,44.206
87,87,2.900,593.931,508.555,55.508,47.529,413,1,579,489,54.112,45.701,473,44.206
88,88,2.933,594.438,508.225,55.555,47.498,407,1,579,489,54.112,45.701,473,44.206
89,89,2.967,594.341,508.323,55.546,47.507,413,1,579,489,54.112,45.701,473,44.206
90,90,3.000,594.307,508.405,55.543,47.514,403,1,579,489,54.112,45.701,473,44.206
91,91,3.033,594.423,508.403,55.554,47.514,406,1,579,489,54.112,45.701,473,44.206
92,92,3.067,593.930,508.713,55.507,47.543,410,1,579,489,54.112,45.701,473,44.206
93,93,3.100,593.488,509.062,55.466,47.576,426,1,579,489,54.112,45.701,473,44.206
94,94,3.133,593.771,508.956,55.493,47.566,423,1,579,489,54.112,45.701,473,44.206
95,95,3.167,593.703,508.975,55.486,47.568,424,1,579,489,54.112,45.701,473,44.206
96,96,3.200,593.502,509.007,55.467,47.571,420,1,579,489,54.112,45.701,473,44.206
97,97,3.233,593.060,509.249,55.426,47.593,423,1,579,489,54.112,45.701,473,44.206
98,98,3.267,592.433,509.393,55.368,47.607,411,1,579,489,54.112,45.701,473,44.206
99,99,3.300,592.438,509.411,55.368,47.608,421,1,579,489,54.112,45.701,473,44.206
100,100,3.333,592.263,509.519,55.352,47.619,419,1,579,489,54.112,45.701,473,44.206
101,101,3.367,591.834,509.762,55.312,47.641,416,1,579,489,54.112,45.701,473,44.206
