 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,657.315,516.247,62.601,49.166,414,1,644,490,61.333,46.667,478,45.524
2,2,0.067,657.323,516.011,62.602,49.144,412,1,644,490,61.333,46.667,478,45.524
3,3,0.100,657.385,516.096,62.608,49.152,410,1,644,490,61.333,46.667,478,45.524
4,4,0.133,657.565,516.208,62.625,49.163,416,1,644,490,61.333,46.667,478,45.524
5,5,0.167,657.690,516.460,62.637,49.187,418,1,644,490,61.333,46.667,478,45.524
6,6,0.200,658.261,516.963,62.692,49.235,460,1,644,490,61.333,46.667,478,45.524
7,7,0.233,658.456,517.376,62.710,49.274,468,1,644,490,61.333,46.667,478,45.524
8,8,0.267,658.991,517.398,62.761,49.276,456,1,644,490,61.333,46.667,478,45.524
9,9,0.300,659.167,517.481,62.778,49.284,450,1,644,490,61.333,46.667,478,45.524
10,10,0.333,659.561,516.970,62.815,49.235,466,1,644,490,61.333,46.667,478,45.524
11,11,0.367,660.042,516.838,62.861,49.223,445,1,644,490,61.333,46.667,478,45.524
12,12,0.400,1035.963,753.524,98.663,71.764,501,1,644,490,61.333,46.667,478,45.524
13,13,0.433,1036.079,753.369,98.674,71.749,508,1,644,490,61.333,46.667,478,45.524
14,14,0.467,1035.552,754.281,98.624,71.836,503,1,644,490,61.333,46.667,478,45.524
15,15,0.500,1034.895,755.258,98.561,71.929,566,1,644,490,61.333,46.667,478,45.524
16,16,0.533,1034.894,755.236,98.561,71.927,567,1,644,490,61.333,46.667,478,45.524
17,17,0.567,1034.710,755.528,98.544,71.955,557,1,644,490,61.333,46.667,478,45.524
18,18,0.600,1033.842,756.654,98.461,72.062,599,1,644,490,61.333,46.667,478,45.524
19,19,0.633,1033.751,756.786,98.453,72.075,603,1,644,490,61.333,46.667,478,45.524
20,20,0.667,1033.782,756.664,98.455,72.063,587,1,644,490,61.333,46.667,478,45.524
21,21,0.700,1033.010,757.924,98.382,72.183,589,1,644,490,61.333,46.667,478,45.524
22,22,0.733,1033.157,757.716,98.396,72.163,591,1,644,490,61.333,46.667,478,45.524
23,23,0.767,1033.118,757.809,98.392,72.172,569,1,644,490,61.333,46.667,478,45.524
24,24,0.800,1032.000,759.493,98.286,72.333,582,1,644,490,61.333,46.667,478,45.524
25,25,0.833,1032.316,759.064,98.316,72.292,591,1,644,490,61.333,46.667,478,45.524
26,26,0.867,1032.225,759.126,98.307,72.298,561,1,644,490,61.333,46.667,478,45.524
27,27,0.900,1031.824,759.825,98.269,72.364,582,1,644,490,61.333,46.667,478,45.524
28,28,0.933,1032.205,759.216,98.305,72.306,598,1,644,490,61.333,46.667,478,45.524
29,29,0.967,1031.590,760.145,98.247,72.395,598,1,644,490,61.333,46.667,478,45.524
30,30,1.000,1031.307,760.471,98.220,72.426,635,1,644,490,61.333,46.667,478,45.524
31,31,1.033,1031.833,759.705,98.270,72.353,643,1,644,490,61.333,46.667,478,45.524
32,32,1.067,1031.853,759.648,98.272,72.347,614,1,644,490,61.333,46.667,478,45.524
33,33,1.100,1031.723,759.915,98.259,72.373,632,1,644,490,61.333,46.667,478,45.524
34,34,1.133,1032.184,759.235,98.303,72.308,621,1,644,490,61.333,46.667,478,45.524
35,35,1.167,1032.871,758.280,98.369,72.217,537,1,644,490,61.333,46.667,478,45.524
36,36,1.200,1033.513,757.290,98.430,72.123,542,1,644,490,61.333,46.667,478,45.524
37,37,1.233,1034.621,755.627,98.535,71.965,531,1,644,490,61.333,46.667,478,45.524
38,38,1.267,1035.924,753.802,98.659,71.791,471,1,644,490,61.333,46.667,478,45.524
39,39,1.300,1035.949,753.815,98.662,71.792,461,1,644,490,61.333,46.667,478,45.524
40,40,1.333,1037.294,751.845,98.790,71.604,436,1,644,490,61.333,46.667,478,45.524
41,41,1.367,1038.194,750.473,98.876,71.474,391,1,644,490,61.333,46.667,478,45.524
42,42,1.400,660.229,511.682,62.879,48.732,379,1,644,490,61.333,46.667,478,45.524
43,43,1.433,660.408,511.443,62.896,48.709,389,1,644,490,61.333,46.667,478,45.524
44,44,1.467,660.456,511.483,62.901,48.713,388,1,644,490,61.333,46.667,478,45.524
45,45,1.500,660.304,511.764,62.886,48.739,391,1,644,490,61.333,46.667,478,45.524
46,46,1.533,660.175,511.485,62.874,48.713,397,1,644,490,61.333,46.667,478,45.524
47,47,1.567,659.892,511.644,62.847,48.728,384,1,644,490,61.333,46.667,478,45.524
48,48,1.600,659.786,511.593,62.837,48.723,385,1,644,490,61.333,46.667,478,45.524
49,49,1.633,659.605,511.194,62.819,48.685,398,1,644,490,61.333,46.667,478,45.524
50,50,1.667,659.644,510.856,62.823,48.653,385,1,644,490,61.333,46.667,478,45.524
51,51,1.700,659.520,510.902,62.811,48.657,386,1,644,490,61.333,46.667,478,45.524
52,52,1.733,659.777,510.206,62.836,48.591,394,1,644,490,61.333,46.667,478,45.524
53,53,1.767,659.859,510.123,62.844,48.583,387,1,644,490,61.333,46.667,478,45.524
54,54,1.800,659.967,509.709,62.854,48.544,397,1,644,490,61.333,46.667,478,45.524
55,55,1.833,660.236,509.007,62.880,48.477,409,1,644,490,61.333,46.667,478,45.524
56,56,1.867,660.395,508.655,62.895,48.443,405,1,644,490,61.333,46.667,478,45.524
57,57,1.900,660.800,507.951,62.933,48.376,408,1,644,490,61.333,46.667,478,45.524
58,58,1.933,661.007,507.236,62.953,48.308,421,1,644,490,61.333,46.667,478,45.524
59,59,1.967,661.505,506.201,63.000,48.210,411,1,644,490,61.333,46.667,478,45.524
60,60,2.000,661.798,505.717,63.028,48.164,417,1,644,490,61.333,46.667,478,45.524
61,61,2.033,662.594,504.018,63.104,48.002,432,1,644,490,61.333,46.667,478,45.524
62,62,2.067,662.728,503.657,63.117,47.967,407,1,644,490,61.333,46.667,478,45.524
63,63,2.100,662.847,503.508,63.128,47.953,401,1,644,490,61.333,46.667,478,45.524
64,64,2.133,662.961,503.116,63.139,47.916,405,1,644,490,61.333,46.667,478,45.524
65,65,2.167,662.966,503.019,63.140,47.907,400,1,644,490,61.333,46.667,478,45.524
66,66,2.200,662.942,502.942,63.137,47.899,400,1,644,490,61.333,46.667,478,45.524
67,67,2.233,662.927,503.108,63.136,47.915,405,1,644,490,61.333,46.667,478,45.524
68,68,2.267,662.867,503.073,63.130,47.912,402,1,644,490,61.333,46.667,478,45.524
69,69,2.300,662.693,503.164,63.114,47.920,398,1,644,490,61.333,46.667,478,45.524
70,70,2.333,662.717,502.965,63.116,47.901,410,1,644,490,61.333,46.667,478,45.524
71,71,2.367,662.768,502.915,63.121,47.897,408,1,644,490,61.333,46.667,478,45.524
72,72,2.400,662.816,502.710,63.125,47.877,410,1,644,490,61.333,46.667,478,45.524
73,73,2.433,662.964,502.297,63.139,47.838,420,1,644,490,61.333,46.667,478,45.524
74,74,2.467,663.095,502.085,63.152,47.818,414,1,644,490,61.333,46.667,478,45.524
75,75,2.500,663.266,501.509,63.168,47.763,416,1,644,490,61.333,46.667,478,45.524
76,76,2.533,663.613,500.859,63.201,47.701,434,1,644,490,61.333,46.667,478,45.524
77,77,2.567,663.826,500.277,63.222,47.645,427,1,644,490,61.333,46.667,478,45.524
78,78,2.600,664.126,499.586,63.250,47.580,433,1,644,490,61.333,46.667,478,45.524
79,79,2.633,664.646,498.469,63.300,47.473,453,1,644,490,61.333,46.667,478,45.524
80,80,2.667,665.007,497.560,63.334,47.387,443,1,644,490,61.333,46.667,478,45.524
81,81,2.700,665.370,496.890,63.369,47.323,439,1,644,490,61.333,46.667,478,45.524
82,82,2.733,665.692,495.888,63.399,47.227,458,1,644,490,61.333,46.667,478,45.524
83,83,2.767,666.043,495.118,63.433,47.154,446,1,644,490,61.333,46.667,478,45.524
84,84,2.800,666.149,494.777,63.443,47.122,435,1,644,490,61.333,46.667,478,45.524
85,85,2.833,666.745,493.416,63.500,46.992,464,1,644,490,61.333,46.667,478,45.524
86,86,2.867,666.971,492.506,63.521,46.905,445,1,644,490,61.333,46.667,478,45.524
87,87,2.900,667.234,491.766,63.546,46.835,431,1,644,490,61.333,46.667,478,45.524
88,88,2.933,667.561,491.066,63.577,46.768,437,1,644,490,61.333,46.667,478,45.524
89,89,2.967,667.567,491.091,63.578,46.771,433,1,644,490,61.333,46.667,478,45.524
90,90,3.000,667.359,491.227,63.558,46.783,423,1,644,490,61.333,46.667,478,45.524
