 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,625.562,521.586,59.015,49.206,282,1,636,493,60.000,46.509,474.500,44.764
2,2,0.067,625.533,521.327,59.013,49.182,283,1,636,493,60.000,46.509,474.500,44.764
3,3,0.100,625.541,521.558,59.013,49.204,285,1,636,493,60.000,46.509,474.500,44.764
4,4,0.133,624.694,521.522,58.933,49.200,320,1,636,493,60.000,46.509,474.500,44.764
5,5,0.167,624.652,521.438,58.929,49.192,325,1,636,493,60.000,46.509,474.500,44.764
6,6,0.200,624.464,521.276,58.912,49.177,336,1,636,493,60.000,46.509,474.500,44.764
7,7,0.233,624.432,521.303,58.909,49.179,326,1,636,493,60.000,46.509,474.500,44.764
8,8,0.267,624.324,521.469,58.899,49.195,330,1,636,493,60.000,46.509,474.500,44.764
9,9,0.300,624.146,521.546,58.882,49.202,339,1,636,493,60.000,46.509,474.500,44.764
10,10,0.333,624.146,521.546,58.882,49.202,339,1,636,493,60.000,46.509,474.500,44.764
11,11,0.367,623.953,521.549,58.863,49.203,337,1,636,493,60.000,46.509,474.500,44.764
12,12,0.400,623.637,521.636,58.834,49.211,340,1,636,493,60.000,46.509,474.500,44.764
13,13,0.433,623.573,521.629,58.828,49.210,337,1,636,493,60.000,46.509,474.500,44.764
14,14,0.467,623.500,521.614,58.821,49.209,339,1,636,493,60.000,46.509,474.500,44.764
15,15,0.500,623.492,521.591,58.820,49.207,339,1,636,493,60.000,46.509,474.500,44.764
16,16,0.533,623.560,521.574,58.826,49.205,337,1,636,493,60.000,46.509,474.500,44.764
17,17,0.567,623.785,521.551,58.848,49.203,327,1,636,493,60.000,46.509,474.500,44.764
18,18,0.600,623.754,521.424,58.845,49.191,332,1,636,493,60.000,46.509,474.500,44.764
19,19,0.633,623.755,521.424,58.845,49.191,332,1,636,493,60.000,46.509,474.500,44.764
20,20,0.667,623.819,521.423,58.851,49.191,329,1,636,493,60.000,46.509,474.500,44.764
21,21,0.700,623.814,521.359,58.850,49.185,333,1,636,493,60.000,46.509,474.500,44.764
22,22,0.733,623.834,521.320,58.852,49.181,331,1,636,493,60.000,46.509,474.500,44.764
23,23,0.767,623.829,521.199,58.852,49.170,333,1,636,493,60.000,46.509,474.500,44.764
24,24,0.800,623.698,521.302,58.839,49.179,340,1,636,493,60.000,46.509,474.500,44.764
25,25,0.833,623.853,521.164,58.854,49.166,331,1,636,493,60.000,46.509,474.500,44.764
26,26,0.867,623.767,521.129,58.846,49.163,335,1,636,493,60.000,46.509,474.500,44.764
27,27,0.900,623.626,521.062,58.833,49.157,340,1,636,493,60.000,46.509,474.500,44.764
28,28,0.933,623.657,521.045,58.836,49.155,337,1,636,493,60.000,46.509,474.500,44.764
29,29,0.967,623.752,521.011,58.845,49.152,336,1,636,493,60.000,46.509,474.500,44.764
30,30,1.000,623.768,520.914,58.846,49.143,340,1,636,493,60.000,46.509,474.500,44.764
31,31,1.033,623.804,520.804,58.849,49.132,335,1,636,493,60.000,46.509,474.500,44.764
32,32,1.067,623.841,520.807,58.853,49.133,333,1,636,493,60.000,46.509,474.500,44.764
33,33,1.100,623.864,520.717,58.855,49.124,336,1,636,493,60.000,46.509,474.500,44.764
34,34,1.133,624.075,520.575,58.875,49.111,334,1,636,493,60.000,46.509,474.500,44.764
35,35,1.167,624.277,520.547,58.894,49.108,329,1,636,493,60.000,46.509,474.500,44.764
36,36,1.200,624.125,520.482,58.880,49.102,339,1,636,493,60.000,46.509,474.500,44.764
37,37,1.233,624.166,520.394,58.884,49.094,336,1,636,493,60.000,46.509,474.500,44.764
38,38,1.267,624.255,520.327,58.892,49.087,333,1,636,493,60.000,46.509,474.500,44.764
39,39,1.300,624.271,520.202,58.893,49.076,339,1,636,493,60.000,46.509,474.500,44.764
40,40,1.333,624.329,520.209,58.899,49.076,334,1,636,493,60.000,46.509,474.500,44.764
41,41,1.367,624.500,520.148,58.915,49.071,325,1,636,493,60.000,46.509,474.500,44.764
42,42,1.400,624.579,519.955,58.923,49.052,324,1,636,493,60.000,46.509,474.500,44.764
43,43,1.433,624.652,519.920,58.929,49.049,325,1,636,493,60.000,46.509,474.500,44.764
44,44,1.467,624.689,519.995,58.933,49.056,321,1,636,493,60.000,46.509,474.500,44.764
45,45,1.500,624.713,519.936,58.935,49.051,324,1,636,493,60.000,46.509,474.500,44.764
46,46,1.533,624.831,519.895,58.946,49.047,317,1,636,493,60.000,46.509,474.500,44.764
47,47,1.567,624.824,519.969,58.946,49.054,320,1,636,493,60.000,46.509,474.500,44.764
48,48,1.600,624.854,520.025,58.948,49.059,321,1,636,493,60.000,46.509,474.500,44.764
49,49,1.633,624.969,520.016,58.959,49.058,317,1,636,493,60.000,46.509,474.500,44.764
50,50,1.667,624.978,519.964,58.960,49.053,311,1,636,493,60.000,46.509,474.500,44.764
51,51,1.700,625.081,519.885,58.970,49.046,311,1,636,493,60.000,46.509,474.500,44.764
52,52,1.733,625.123,519.834,58.974,49.041,309,1,636,493,60.000,46.509,474.500,44.764
53,53,1.767,625.191,519.837,58.980,49.041,306,1,636,493,60.000,46.509,474.500,44.764
54,54,1.800,625.389,519.763,58.999,49.034,309,1,636,493,60.000,46.509,474.500,44.764
55,55,1.833,625.437,519.761,59.004,49.034,311,1,636,493,60.000,46.509,474.500,44.764
56,56,1.867,625.487,519.755,59.008,49.033,307,1,636,493,60.000,46.509,474.500,44.764
57,57,1.900,625.468,519.738,59.006,49.032,310,1,636,493,60.000,46.509,474.500,44.764
58,58,1.933,625.414,519.763,59.001,49.034,312,1,636,493,60.000,46.509,474.500,44.764
59,59,1.967,625.519,519.756,59.011,49.034,304,1,636,493,60.000,46.509,474.500,44.764
60,60,2.000,625.521,520.031,59.011,49.060,317,1,636,493,60.000,46.509,474.500,44.764
61,61,2.033,625.341,519.985,58.994,49.055,309,1,636,493,60.000,46.509,474.500,44.764
62,62,2.067,625.402,520.014,59.000,49.058,306,1,636,493,60.000,46.509,474.500,44.764
63,63,2.100,625.334,520.024,58.994,49.059,314,1,636,493,60.000,46.509,474.500,44.764
64,64,2.133,625.335,520.008,58.994,49.057,315,1,636,493,60.000,46.509,474.500,44.764
65,65,2.167,625.469,520.065,59.006,49.063,310,1,636,493,60.000,46.509,474.500,44.764
66,66,2.200,625.258,520.104,58.987,49.066,318,1,636,493,60.000,46.509,474.500,44.764
67,67,2.233,625.324,520.187,58.993,49.074,314,1,636,493,60.000,46.509,474.500,44.764
68,68,2.267,625.503,520.017,59.010,49.058,315,1,636,493,60.000,46.509,474.500,44.764
69,69,2.300,625.183,520.291,58.980,49.084,323,1,636,493,60.000,46.509,474.500,44.764
70,70,2.333,625.239,520.416,58.985,49.096,321,1,636,493,60.000,46.509,474.500,44.764
71,71,2.367,625.154,520.407,58.977,49.095,319,1,636,493,60.000,46.509,474.500,44.764
72,72,2.400,625.025,520.356,58.965,49.090,324,1,636,493,60.000,46.509,474.500,44.764
73,73,2.433,625.126,520.455,58.974,49.100,318,1,636,493,60.000,46.509,474.500,44.764
74,74,2.467,625.366,520.431,58.997,49.097,321,1,636,493,60.000,46.509,474.500,44.764
75,75,2.500,625.304,520.518,58.991,49.106,326,1,636,493,60.000,46.509,474.500,44.764
76,76,2.533,625.320,520.534,58.992,49.107,331,1,636,493,60.000,46.509,474.500,44.764
77,77,2.567,625.183,520.589,58.979,49.112,325,1,636,493,60.000,46.509,474.500,44.764
78,78,2.600,624.975,520.722,58.960,49.125,333,1,636,493,60.000,46.509,474.500,44.764
79,79,2.633,625.038,520.821,58.966,49.134,331,1,636,493,60.000,46.509,474.500,44.764
80,80,2.667,625.062,520.806,58.968,49.133,333,1,636,493,60.000,46.509,474.500,44.764
81,81,2.700,624.710,520.987,58.935,49.150,343,1,636,493,60.000,46.509,474.500,44.764
82,82,2.733,624.855,520.856,58.949,49.137,349,1,636,493,60.000,46.509,474.500,44.764
83,83,2.767,624.897,521.026,58.953,49.153,338,1,636,493,60.000,46.509,474.500,44.764
84,84,2.800,624.585,521.250,58.923,49.174,339,1,636,493,60.000,46.509,474.500,44.764
85,85,2.833,624.600,521.338,58.925,49.183,347,1,636,493,60.000,46.509,474.500,44.764
86,86,2.867,624.683,521.424,58.932,49.191,338,1,636,493,60.000,46.509,474.500,44.764
87,87,2.900,624.763,521.634,58.940,49.211,344,1,636,493,60.000,46.509,474.500,44.764
88,88,2.933,624.516,521.760,58.917,49.223,351,1,636,493,60.000,46.509,474.500,44.764
89,89,2.967,624.650,521.700,58.929,49.217,341,1,636,493,60.000,46.509,474.500,44.764
90,90,3.000,624.445,521.768,58.910,49.223,350,1,636,493,60.000,46.509,474.500,44.764
91,91,3.033,624.347,521.720,58.901,49.219,357,1,636,493,60.000,46.509,474.500,44.764
92,92,3.067,624.249,521.682,58.891,49.215,353,1,636,493,60.000,46.509,474.500,44.764
93,93,3.100,623.849,521.862,58.854,49.232,357,1,636,493,60.000,46.509,474.500,44.764
94,94,3.133,623.708,521.802,58.840,49.227,364,1,636,493,60.000,46.509,474.500,44.764
95,95,3.167,623.511,521.788,58.822,49.225,357,1,636,493,60.000,46.509,474.500,44.764
96,96,3.200,623.019,521.874,58.775,49.233,360,1,636,493,60.000,46.509,474.500,44.764
97,97,3.233,622.994,521.761,58.773,49.223,363,1,636,493,60.000,46.509,474.500,44.764
98,98,3.267,622.882,521.835,58.762,49.230,356,1,636,493,60.000,46.509,474.500,44.764
99,99,3.300,622.509,521.788,58.727,49.225,365,1,636,493,60.000,46.509,474.500,44.764
100,100,3.333,622.314,521.750,58.709,49.222,366,1,636,493,60.000,46.509,474.500,44.764
101,101,3.367,622.267,521.636,58.704,49.211,362,1,636,493,60.000,46.509,474.500,44.764
102,102,3.400,622.074,521.649,58.686,49.212,359,1,636,493,60.000,46.509,474.500,44.764
103,103,3.433,622.044,521.687,58.683,49.216,362,1,636,493,60.000,46.509,474.500,44.764
104,104,3.467,621.991,521.685,58.678,49.216,358,1,636,493,60.000,46.509,474.500,44.764
105,105,3.500,621.774,521.740,58.658,49.221,359,1,636,493,60.000,46.509,474.500,44.764
106,106,3.533,621.610,521.798,58.642,49.226,360,1,636,493,60.000,46.509,474.500,44.764
107,107,3.567,621.690,521.704,58.650,49.217,354,1,636,493,60.000,46.509,474.500,44.764
108,108,3.600,621.571,521.697,58.639,49.217,360,1,636,493,60.000,46.509,474.500,44.764
109,109,3.633,621.545,521.652,58.636,49.212,360,1,636,493,60.000,46.509,474.500,44.764
110,110,3.667,621.649,521.583,58.646,49.206,352,1,636,493,60.000,46.509,474.500,44.764
111,111,3.700,621.654,521.627,58.647,49.210,347,1,636,493,60.000,46.509,474.500,44.764
112,112,3.733,621.541,521.465,58.636,49.195,360,1,636,493,60.000,46.509,474.500,44.764
113,113,3.767,621.498,521.568,58.632,49.205,353,1,636,493,60.000,46.509,474.500,44.764
114,114,3.800,621.276,521.652,58.611,49.212,347,1,636,493,60.000,46.509,474.500,44.764
115,115,3.833,621.220,521.568,58.606,49.205,346,1,636,493,60.000,46.509,474.500,44.764
116,116,3.867,621.168,521.551,58.601,49.203,342,1,636,493,60.000,46.509,474.500,44.764
117,117,3.900,621.143,521.526,58.598,49.201,341,1,636,493,60.000,46.509,474.500,44.764
118,118,3.933,620.756,521.849,58.562,49.231,353,1,636,493,60.000,46.509,474.500,44.764
119,119,3.967,620.891,521.687,58.575,49.216,347,1,636,493,60.000,46.509,474.500,44.764
120,120,4.000,620.895,521.782,58.575,49.225,347,1,636,493,60.000,46.509,474.500,44.764
121,121,4.033,620.603,521.893,58.547,49.235,353,1,636,493,60.000,46.509,474.500,44.764
122,122,4.067,620.489,522.075,58.537,49.252,343,1,636,493,60.000,46.509,474.500,44.764
123,123,4.100,620.400,522.102,58.528,49.255,345,1,636,493,60.000,46.509,474.500,44.764
124,124,4.133,620.140,522.275,58.504,49.271,353,1,636,493,60.000,46.509,474.500,44.764
125,125,4.167,620.132,522.304,58.503,49.274,352,1,636,493,60.000,46.509,474.500,44.764
126,126,4.200,620.124,522.323,58.502,49.276,352,1,636,493,60.000,46.509,474.500,44.764
127,127,4.233,619.928,522.326,58.484,49.276,361,1,636,493,60.000,46.509,474.500,44.764
128,128,4.267,619.784,522.252,58.470,49.269,352,1,636,493,60.000,46.509,474.500,44.764
129,129,4.300,619.774,522.294,58.469,49.273,351,1,636,493,60.000,46.509,474.500,44.764
130,130,4.333,619.382,522.277,58.432,49.271,364,1,636,493,60.000,46.509,474.500,44.764
131,131,4.367,619.320,522.360,58.426,49.279,361,1,636,493,60.000,46.509,474.500,44.764
132,132,4.400,619.258,522.471,58.421,49.290,352,1,636,493,60.000,46.509,474.500,44.764
133,133,4.433,619.177,522.537,58.413,49.296,359,1,636,493,60.000,46.509,474.500,44.764
134,134,4.467,619.187,522.579,58.414,49.300,358,1,636,493,60.000,46.509,474.500,44.764
135,135,4.500,619.184,522.572,58.414,49.299,367,1,636,493,60.000,46.509,474.500,44.764
136,136,4.533,619.220,522.592,58.417,49.301,366,1,636,493,60.000,46.509,474.500,44.764
137,137,4.567,619.168,522.559,58.412,49.298,365,1,636,493,60.000,46.509,474.500,44.764
138,138,4.600,619.064,522.607,58.402,49.303,364,1,636,493,60.000,46.509,474.500,44.764
139,139,4.633,618.767,522.701,58.374,49.311,375,1,636,493,60.000,46.509,474.500,44.764
140,140,4.667,618.658,522.649,58.364,49.307,365,1,636,493,60.000,46.509,474.500,44.764
141,141,4.700,618.689,522.617,58.367,49.304,362,1,636,493,60.000,46.509,474.500,44.764
142,142,4.733,618.372,522.685,58.337,49.310,369,1,636,493,60.000,46.509,474.500,44.764
143,143,4.767,618.568,522.636,58.355,49.305,364,1,636,493,60.000,46.509,474.500,44.764
144,144,4.800,618.513,522.707,58.350,49.312,365,1,636,493,60.000,46.509,474.500,44.764
145,145,4.833,618.329,522.665,58.333,49.308,372,1,636,493,60.000,46.509,474.500,44.764
146,146,4.867,618.235,522.781,58.324,49.319,368,1,636,493,60.000,46.509,474.500,44.764
147,147,4.900,618.212,522.782,58.322,49.319,365,1,636,493,60.000,46.509,474.500,44.764
148,148,4.933,617.903,522.903,58.293,49.331,371,1,636,493,60.000,46.509,474.500,44.764
149,149,4.967,617.990,522.926,58.301,49.333,369,1,636,493,60.000,46.509,474.500,44.764
150,150,5.000,617.966,522.918,58.299,49.332,368,1,636,493,60.000,46.509,474.500,44.764
