 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,NaN,NaN,NaN,NaN,NaN,0,581,484,55.333,46.095,473.500,45.095
2,2,0.067,560.347,485.342,53.366,46.223,194,1,581,484,55.333,46.095,473.500,45.095
3,3,0.100,560.347,485.342,53.366,46.223,194,1,581,484,55.333,46.095,473.500,45.095
4,4,0.133,559.157,487.606,53.253,46.439,191,1,581,484,55.333,46.095,473.500,45.095
5,5,0.167,NaN,NaN,NaN,NaN,NaN,0,581,484,55.333,46.095,473.500,45.095
6,6,0.200,559.921,487.226,53.326,46.402,196,1,581,484,55.333,46.095,473.500,45.095
7,7,0.233,560.311,486.650,53.363,46.348,212,1,581,484,55.333,46.095,473.500,45.095
8,8,0.267,560.168,486.618,53.349,46.345,207,1,581,484,55.333,46.095,473.500,45.095
9,9,0.300,560.431,486.886,53.374,46.370,213,1,581,484,55.333,46.095,473.500,45.095
10,10,0.333,560.447,486.933,53.376,46.375,211,1,581,484,55.333,46.095,473.500,45.095
11,11,0.367,560.419,486.764,53.373,46.358,221,1,581,484,55.333,46.095,473.500,45.095
12,12,0.400,560.673,486.744,53.397,46.357,220,1,581,484,55.333,46.095,473.500,45.095
13,13,0.433,560.536,486.712,53.384,46.354,217,1,581,484,55.333,46.095,473.500,45.095
14,14,0.467,560.536,486.712,53.384,46.354,217,1,581,484,55.333,46.095,473.500,45.095
15,15,0.500,560.437,486.913,53.375,46.373,214,1,581,484,55.333,46.095,473.500,45.095
16,16,0.533,560.331,487.081,53.365,46.389,218,1,581,484,55.333,46.095,473.500,45.095
17,17,0.567,560.689,486.663,53.399,46.349,234,1,581,484,55.333,46.095,473.500,45.095
18,18,0.600,560.671,486.702,53.397,46.353,237,1,581,484,55.333,46.095,473.500,45.095
19,19,0.633,560.669,486.593,53.397,46.342,240,1,581,484,55.333,46.095,473.500,45.095
20,20,0.667,560.705,486.578,53.400,46.341,240,1,581,484,55.333,46.095,473.500,45.095
21,21,0.700,560.842,486.400,53.414,46.324,244,1,581,484,55.333,46.095,473.500,45.095
22,22,0.733,561.300,486.042,53.457,46.290,230,1,581,484,55.333,46.095,473.500,45.095
23,23,0.767,561.153,486.287,53.443,46.313,225,1,581,484,55.333,46.095,473.500,45.095
24,24,0.800,560.809,486.522,53.410,46.335,235,1,581,484,55.333,46.095,473.500,45.095
25,25,0.833,560.824,486.550,53.412,46.338,232,1,581,484,55.333,46.095,473.500,45.095
26,26,0.867,560.826,486.594,53.412,46.342,231,1,581,484,55.333,46.095,473.500,45.095
27,27,0.900,561.058,486.190,53.434,46.304,233,1,581,484,55.333,46.095,473.500,45.095
28,28,0.933,560.980,486.233,53.427,46.308,231,1,581,484,55.333,46.095,473.500,45.095
29,29,0.967,561.226,486.144,53.450,46.299,234,1,581,484,55.333,46.095,473.500,45.095
30,30,1.000,561.174,486.120,53.445,46.297,230,1,581,484,55.333,46.095,473.500,45.095
31,31,1.033,561.072,485.734,53.435,46.260,239,1,581,484,55.333,46.095,473.500,45.095
32,32,1.067,560.809,485.995,53.410,46.285,244,1,581,484,55.333,46.095,473.500,45.095
33,33,1.100,561.270,485.786,53.454,46.265,244,1,581,484,55.333,46.095,473.500,45.095
34,34,1.133,561.081,485.908,53.436,46.277,250,1,581,484,55.333,46.095,473.500,45.095
35,35,1.167,560.883,486.021,53.417,46.288,251,1,581,484,55.333,46.095,473.500,45.095
36,36,1.200,560.785,485.995,53.408,46.285,256,1,581,484,55.333,46.095,473.500,45.095
37,37,1.233,560.966,485.859,53.425,46.272,252,1,581,484,55.333,46.095,473.500,45.095
38,38,1.267,560.995,485.825,53.428,46.269,249,1,581,484,55.333,46.095,473.500,45.095
39,39,1.300,560.697,486.074,53.400,46.293,256,1,581,484,55.333,46.095,473.500,45.095
40,40,1.333,560.777,486.021,53.407,46.288,258,1,581,484,55.333,46.095,473.500,45.095
41,41,1.367,560.836,485.955,53.413,46.281,263,1,581,484,55.333,46.095,473.500,45.095
42,42,1.400,560.854,485.971,53.415,46.283,260,1,581,484,55.333,46.095,473.500,45.095
43,43,1.433,560.729,486.208,53.403,46.306,251,1,581,484,55.333,46.095,473.500,45.095
44,44,1.467,560.728,486.211,53.403,46.306,251,1,581,484,55.333,46.095,473.500,45.095
45,45,1.500,560.605,486.194,53.391,46.304,257,1,581,484,55.333,46.095,473.500,45.095
46,46,1.533,560.604,486.194,53.391,46.304,257,1,581,484,55.333,46.095,473.500,45.095
47,47,1.567,560.555,486.302,53.386,46.315,252,1,581,484,55.333,46.095,473.500,45.095
48,48,1.600,560.803,486.226,53.410,46.307,261,1,581,484,55.333,46.095,473.500,45.095
49,49,1.633,560.791,486.125,53.409,46.298,264,1,581,484,55.333,46.095,473.500,45.095
50,50,1.667,560.672,486.214,53.397,46.306,259,1,581,484,55.333,46.095,473.500,45.095
