 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,596.210,497.160,56.246,46.902,263,1,582,486,54.906,45.849,476,44.906
2,2,0.067,595.632,496.566,56.192,46.846,272,1,582,486,54.906,45.849,476,44.906
3,3,0.100,595.632,496.566,56.192,46.846,272,1,582,486,54.906,45.849,476,44.906
4,4,0.133,595.561,496.652,56.185,46.854,269,1,582,486,54.906,45.849,476,44.906
5,5,0.167,595.702,496.860,56.198,46.874,285,1,582,486,54.906,45.849,476,44.906
6,6,0.200,595.796,496.801,56.207,46.868,285,1,582,486,54.906,45.849,476,44.906
7,7,0.233,595.523,497.094,56.181,46.896,275,1,582,486,54.906,45.849,476,44.906
8,8,0.267,595.602,496.998,56.189,46.887,281,1,582,486,54.906,45.849,476,44.906
9,9,0.300,595.220,497.129,56.153,46.899,289,1,582,486,54.906,45.849,476,44.906
10,10,0.333,595.087,497.189,56.140,46.905,287,1,582,486,54.906,45.849,476,44.906
11,11,0.367,595.087,497.189,56.140,46.905,287,1,582,486,54.906,45.849,476,44.906
12,12,0.400,594.868,497.281,56.120,46.913,292,1,582,486,54.906,45.849,476,44.906
13,13,0.433,595.034,497.257,56.135,46.911,289,1,582,486,54.906,45.849,476,44.906
14,14,0.467,595.034,497.257,56.135,46.911,289,1,582,486,54.906,45.849,476,44.906
15,15,0.500,595.146,497.248,56.146,46.910,289,1,582,486,54.906,45.849,476,44.906
16,16,0.533,595.142,497.267,56.145,46.912,288,1,582,486,54.906,45.849,476,44.906
17,17,0.567,595.149,497.263,56.146,46.912,288,1,582,486,54.906,45.849,476,44.906
18,18,0.600,595.149,497.263,56.146,46.912,288,1,582,486,54.906,45.849,476,44.906
19,19,0.633,595.282,497.277,56.159,46.913,289,1,582,486,54.906,45.849,476,44.906
20,20,0.667,595.150,497.301,56.146,46.915,292,1,582,486,54.906,45.849,476,44.906
21,21,0.700,595.167,497.349,56.148,46.920,294,1,582,486,54.906,45.849,476,44.906
22,22,0.733,595.057,497.334,56.137,46.918,293,1,582,486,54.906,45.849,476,44.906
23,23,0.767,595.055,497.330,56.137,46.918,293,1,582,486,54.906,45.849,476,44.906
24,24,0.800,595.005,497.411,56.133,46.926,296,1,582,486,54.906,45.849,476,44.906
25,25,0.833,594.949,497.337,56.127,46.919,294,1,582,486,54.906,45.849,476,44.906
26,26,0.867,594.948,497.339,56.127,46.919,294,1,582,486,54.906,45.849,476,44.906
27,27,0.900,594.934,497.348,56.126,46.920,294,1,582,486,54.906,45.849,476,44.906
28,28,0.933,595.110,497.289,56.142,46.914,291,1,582,486,54.906,45.849,476,44.906
29,29,0.967,595.255,497.258,56.156,46.911,293,1,582,486,54.906,45.849,476,44.906
30,30,1.000,595.055,497.219,56.137,46.907,304,1,582,486,54.906,45.849,476,44.906
31,31,1.033,595.267,497.138,56.157,46.900,301,1,582,486,54.906,45.849,476,44.906
32,32,1.067,595.409,497.132,56.171,46.899,296,1,582,486,54.906,45.849,476,44.906
33,33,1.100,595.453,497.121,56.175,46.898,307,1,582,486,54.906,45.849,476,44.906
34,34,1.133,595.334,497.142,56.164,46.900,306,1,582,486,54.906,45.849,476,44.906
35,35,1.167,595.291,497.149,56.160,46.901,305,1,582,486,54.906,45.849,476,44.906
36,36,1.200,595.445,497.127,56.174,46.899,306,1,582,486,54.906,45.849,476,44.906
37,37,1.233,595.313,497.149,56.162,46.901,305,1,582,486,54.906,45.849,476,44.906
38,38,1.267,595.343,497.149,56.164,46.901,304,1,582,486,54.906,45.849,476,44.906
39,39,1.300,595.174,497.216,56.149,46.907,309,1,582,486,54.906,45.849,476,44.906
40,40,1.333,595.365,497.194,56.167,46.905,303,1,582,486,54.906,45.849,476,44.906
41,41,1.367,595.380,497.165,56.168,46.902,298,1,582,486,54.906,45.849,476,44.906
42,42,1.400,595.417,497.168,56.171,46.903,306,1,582,486,54.906,45.849,476,44.906
43,43,1.433,595.427,497.159,56.172,46.902,306,1,582,486,54.906,45.849,476,44.906
44,44,1.467,595.265,497.190,56.157,46.905,302,1,582,486,54.906,45.849,476,44.906
45,45,1.500,595.389,497.196,56.169,46.905,306,1,582,486,54.906,45.849,476,44.906
46,46,1.533,595.406,497.154,56.170,46.901,307,1,582,486,54.906,45.849,476,44.906
47,47,1.567,595.356,497.165,56.166,46.902,305,1,582,486,54.906,45.849,476,44.906
48,48,1.600,595.364,497.161,56.166,46.902,305,1,582,486,54.906,45.849,476,44.906
49,49,1.633,595.328,497.159,56.163,46.902,306,1,582,486,54.906,45.849,476,44.906
50,50,1.667,595.365,497.159,56.167,46.902,305,1,582,486,54.906,45.849,476,44.906
51,51,1.700,595.290,497.160,56.159,46.902,303,1,582,486,54.906,45.849,476,44.906
52,52,1.733,595.369,497.183,56.167,46.904,306,1,582,486,54.906,45.849,476,44.906
53,53,1.767,595.231,497.234,56.154,46.909,301,1,582,486,54.906,45.849,476,44.906
54,54,1.800,595.212,497.177,56.152,46.904,311,1,582,486,54.906,45.849,476,44.906
55,55,1.833,595.309,497.135,56.161,46.900,310,1,582,486,54.906,45.849,476,44.906
56,56,1.867,595.219,497.163,56.153,46.902,303,1,582,486,54.906,45.849,476,44.906
57,57,1.900,595.250,497.160,56.156,46.902,308,1,582,486,54.906,45.849,476,44.906
58,58,1.933,595.254,497.133,56.156,46.899,309,1,582,486,54.906,45.849,476,44.906
59,59,1.967,595.223,497.163,56.153,46.902,308,1,582,486,54.906,45.849,476,44.906
60,60,2.000,595.283,497.167,56.159,46.903,309,1,582,486,54.906,45.849,476,44.906
61,61,2.033,595.185,497.316,56.150,46.917,302,1,582,486,54.906,45.849,476,44.906
62,62,2.067,595.096,497.329,56.141,46.918,300,1,582,486,54.906,45.849,476,44.906
63,63,2.100,595.157,497.354,56.147,46.920,301,1,582,486,54.906,45.849,476,44.906
64,64,2.133,595.157,497.354,56.147,46.920,301,1,582,486,54.906,45.849,476,44.906
65,65,2.167,595.157,497.354,56.147,46.920,301,1,582,486,54.906,45.849,476,44.906
66,66,2.200,595.157,497.354,56.147,46.920,301,1,582,486,54.906,45.849,476,44.906
67,67,2.233,595.157,497.354,56.147,46.920,301,1,582,486,54.906,45.849,476,44.906
68,68,2.267,595.150,497.319,56.146,46.917,300,1,582,486,54.906,45.849,476,44.906
69,69,2.300,595.116,497.374,56.143,46.922,305,1,582,486,54.906,45.849,476,44.906
70,70,2.333,595.121,497.367,56.144,46.921,305,1,582,486,54.906,45.849,476,44.906
71,71,2.367,595.246,497.271,56.155,46.912,308,1,582,486,54.906,45.849,476,44.906
72,72,2.400,595.366,497.219,56.167,46.907,311,1,582,486,54.906,45.849,476,44.906
73,73,2.433,595.389,497.150,56.169,46.901,312,1,582,486,54.906,45.849,476,44.906
74,74,2.467,595.265,497.259,56.157,46.911,303,1,582,486,54.906,45.849,476,44.906
75,75,2.500,595.224,497.242,56.153,46.910,305,1,582,486,54.906,45.849,476,44.906
76,76,2.533,595.268,497.119,56.157,46.898,312,1,582,486,54.906,45.849,476,44.906
77,77,2.567,595.204,497.238,56.151,46.909,303,1,582,486,54.906,45.849,476,44.906
78,78,2.600,595.204,497.238,56.151,46.909,303,1,582,486,54.906,45.849,476,44.906
79,79,2.633,595.075,497.238,56.139,46.909,303,1,582,486,54.906,45.849,476,44.906
80,80,2.667,595.106,497.218,56.142,46.907,300,1,582,486,54.906,45.849,476,44.906
81,81,2.700,595.104,497.218,56.142,46.907,300,1,582,486,54.906,45.849,476,44.906
82,82,2.733,595.125,497.238,56.144,46.909,303,1,582,486,54.906,45.849,476,44.906
83,83,2.767,595.125,497.238,56.144,46.909,303,1,582,486,54.906,45.849,476,44.906
84,84,2.800,595.074,497.219,56.139,46.907,305,1,582,486,54.906,45.849,476,44.906
85,85,2.833,595.185,497.175,56.150,46.903,311,1,582,486,54.906,45.849,476,44.906
86,86,2.867,595.239,497.155,56.155,46.901,310,1,582,486,54.906,45.849,476,44.906
87,87,2.900,595.239,497.155,56.155,46.901,310,1,582,486,54.906,45.849,476,44.906
88,88,2.933,595.180,497.163,56.149,46.902,310,1,582,486,54.906,45.849,476,44.906
89,89,2.967,595.093,497.212,56.141,46.907,304,1,582,486,54.906,45.849,476,44.906
90,90,3.000,595.093,497.212,56.141,46.907,304,1,582,486,54.906,45.849,476,44.906
91,91,3.033,595.230,497.202,56.154,46.906,306,1,582,486,54.906,45.849,476,44.906
92,92,3.067,595.061,497.228,56.138,46.908,306,1,582,486,54.906,45.849,476,44.906
93,93,3.100,595.105,497.237,56.142,46.909,306,1,582,486,54.906,45.849,476,44.906
94,94,3.133,594.955,497.259,56.128,46.911,310,1,582,486,54.906,45.849,476,44.906
95,95,3.167,595.082,497.182,56.140,46.904,307,1,582,486,54.906,45.849,476,44.906
96,96,3.200,595.090,497.192,56.141,46.905,307,1,582,486,54.906,45.849,476,44.906
97,97,3.233,595.055,497.231,56.137,46.909,312,1,582,486,54.906,45.849,476,44.906
98,98,3.267,595.099,497.214,56.141,46.907,306,1,582,486,54.906,45.849,476,44.906
99,99,3.300,595.099,497.214,56.141,46.907,306,1,582,486,54.906,45.849,476,44.906
100,100,3.333,595.058,497.226,56.138,46.908,308,1,582,486,54.906,45.849,476,44.906
101,101,3.367,595.095,497.203,56.141,46.906,307,1,582,486,54.906,45.849,476,44.906
102,102,3.400,595.131,497.191,56.144,46.905,307,1,582,486,54.906,45.849,476,44.906
103,103,3.433,594.937,497.245,56.126,46.910,310,1,582,486,54.906,45.849,476,44.906
104,104,3.467,594.938,497.240,56.126,46.909,310,1,582,486,54.906,45.849,476,44.906
105,105,3.500,595.015,497.221,56.134,46.908,307,1,582,486,54.906,45.849,476,44.906
106,106,3.533,594.942,497.237,56.127,46.909,310,1,582,486,54.906,45.849,476,44.906
107,107,3.567,595.061,497.202,56.138,46.906,306,1,582,486,54.906,45.849,476,44.906
108,108,3.600,595.065,497.199,56.138,46.906,306,1,582,486,54.906,45.849,476,44.906
109,109,3.633,595.048,497.253,56.137,46.911,309,1,582,486,54.906,45.849,476,44.906
110,110,3.667,595.084,497.194,56.140,46.905,305,1,582,486,54.906,45.849,476,44.906
111,111,3.700,595.067,497.180,56.138,46.904,302,1,582,486,54.906,45.849,476,44.906
112,112,3.733,595.198,497.266,56.151,46.912,314,1,582,486,54.906,45.849,476,44.906
113,113,3.767,595.258,497.253,56.156,46.911,313,1,582,486,54.906,45.849,476,44.906
