 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,576.013,493.835,54.858,47.032,192,1,606,488,57.714,46.476,460,43.810
2,2,0.067,576.013,493.835,54.858,47.032,192,1,606,488,57.714,46.476,460,43.810
3,3,0.100,576.013,493.835,54.858,47.032,192,1,606,488,57.714,46.476,460,43.810
4,4,0.133,576.013,493.835,54.858,47.032,192,1,606,488,57.714,46.476,460,43.810
5,5,0.167,576.710,493.570,54.925,47.007,240,1,606,488,57.714,46.476,460,43.810
6,6,0.200,576.745,493.397,54.928,46.990,236,1,606,488,57.714,46.476,460,43.810
7,7,0.233,576.895,493.489,54.942,46.999,243,1,606,488,57.714,46.476,460,43.810
8,8,0.267,576.846,493.466,54.938,46.997,257,1,606,488,57.714,46.476,460,43.810
9,9,0.300,576.852,493.627,54.938,47.012,256,1,606,488,57.714,46.476,460,43.810
10,10,0.333,577.233,492.885,54.975,46.941,279,1,606,488,57.714,46.476,460,43.810
11,11,0.367,577.194,492.841,54.971,46.937,280,1,606,488,57.714,46.476,460,43.810
12,12,0.400,577.194,492.842,54.971,46.937,280,1,606,488,57.714,46.476,460,43.810
13,13,0.433,577.529,492.408,55.003,46.896,288,1,606,488,57.714,46.476,460,43.810
14,14,0.467,577.390,492.465,54.990,46.901,295,1,606,488,57.714,46.476,460,43.810
15,15,0.500,577.408,492.428,54.991,46.898,296,1,606,488,57.714,46.476,460,43.810
16,16,0.533,577.410,492.327,54.991,46.888,295,1,606,488,57.714,46.476,460,43.810
17,17,0.567,577.262,492.236,54.977,46.880,298,1,606,488,57.714,46.476,460,43.810
18,18,0.600,577.262,492.236,54.977,46.880,298,1,606,488,57.714,46.476,460,43.810
19,19,0.633,577.305,491.891,54.981,46.847,299,1,606,488,57.714,46.476,460,43.810
20,20,0.667,577.283,491.821,54.979,46.840,297,1,606,488,57.714,46.476,460,43.810
21,21,0.700,577.408,491.604,54.991,46.819,299,1,606,488,57.714,46.476,460,43.810
22,22,0.733,577.526,492.201,55.002,46.876,316,1,606,488,57.714,46.476,460,43.810
23,23,0.767,577.463,492.216,54.997,46.878,317,1,606,488,57.714,46.476,460,43.810
24,24,0.800,577.422,492.126,54.993,46.869,314,1,606,488,57.714,46.476,460,43.810
25,25,0.833,577.436,492.170,54.994,46.873,313,1,606,488,57.714,46.476,460,43.810
26,26,0.867,577.362,492.027,54.987,46.860,308,1,606,488,57.714,46.476,460,43.810
27,27,0.900,577.408,492.237,54.991,46.880,316,1,606,488,57.714,46.476,460,43.810
28,28,0.933,577.424,492.149,54.993,46.871,316,1,606,488,57.714,46.476,460,43.810
29,29,0.967,577.410,492.207,54.991,46.877,318,1,606,488,57.714,46.476,460,43.810
30,30,1.000,577.452,492.219,54.995,46.878,314,1,606,488,57.714,46.476,460,43.810
31,31,1.033,577.332,492.237,54.984,46.880,313,1,606,488,57.714,46.476,460,43.810
32,32,1.067,577.280,492.098,54.979,46.866,330,1,606,488,57.714,46.476,460,43.810
33,33,1.100,577.404,492.635,54.991,46.918,335,1,606,488,57.714,46.476,460,43.810
34,34,1.133,577.445,492.491,54.995,46.904,331,1,606,488,57.714,46.476,460,43.810
35,35,1.167,577.372,492.632,54.988,46.917,335,1,606,488,57.714,46.476,460,43.810
36,36,1.200,577.438,492.584,54.994,46.913,336,1,606,488,57.714,46.476,460,43.810
37,37,1.233,577.378,492.693,54.988,46.923,335,1,606,488,57.714,46.476,460,43.810
38,38,1.267,577.229,492.776,54.974,46.931,326,1,606,488,57.714,46.476,460,43.810
39,39,1.300,577.344,492.193,54.985,46.875,329,1,606,488,57.714,46.476,460,43.810
40,40,1.333,577.359,492.175,54.987,46.874,330,1,606,488,57.714,46.476,460,43.810
41,41,1.367,577.404,492.409,54.991,46.896,334,1,606,488,57.714,46.476,460,43.810
42,42,1.400,577.354,492.500,54.986,46.905,332,1,606,488,57.714,46.476,460,43.810
43,43,1.433,577.232,492.351,54.974,46.891,329,1,606,488,57.714,46.476,460,43.810
44,44,1.467,577.393,492.849,54.990,46.938,340,1,606,488,57.714,46.476,460,43.810
45,45,1.500,577.292,492.734,54.980,46.927,333,1,606,488,57.714,46.476,460,43.810
46,46,1.533,577.256,492.747,54.977,46.928,331,1,606,488,57.714,46.476,460,43.810
47,47,1.567,577.293,492.655,54.980,46.920,333,1,606,488,57.714,46.476,460,43.810
48,48,1.600,577.260,492.732,54.977,46.927,331,1,606,488,57.714,46.476,460,43.810
49,49,1.633,577.442,492.520,54.994,46.907,336,1,606,488,57.714,46.476,460,43.810
50,50,1.667,577.379,492.532,54.988,46.908,333,1,606,488,57.714,46.476,460,43.810
51,51,1.700,577.343,492.544,54.985,46.909,332,1,606,488,57.714,46.476,460,43.810
52,52,1.733,577.343,492.423,54.985,46.897,328,1,606,488,57.714,46.476,460,43.810
53,53,1.767,577.289,492.594,54.980,46.914,331,1,606,488,57.714,46.476,460,43.810
54,54,1.800,577.245,492.489,54.976,46.904,327,1,606,488,57.714,46.476,460,43.810
55,55,1.833,577.107,492.581,54.963,46.913,321,1,606,488,57.714,46.476,460,43.810
