 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,633.780,524.170,59.791,49.450,329,1,622,484,58.679,45.660,463,43.679
2,2,0.067,633.259,523.998,59.741,49.434,345,1,622,484,58.679,45.660,463,43.679
3,3,0.100,632.772,523.880,59.696,49.423,363,1,622,484,58.679,45.660,463,43.679
4,4,0.133,632.713,523.790,59.690,49.414,359,1,622,484,58.679,45.660,463,43.679
5,5,0.167,632.732,524.097,59.692,49.443,354,1,622,484,58.679,45.660,463,43.679
6,6,0.200,632.465,523.851,59.667,49.420,365,1,622,484,58.679,45.660,463,43.679
7,7,0.233,632.695,523.897,59.688,49.424,368,1,622,484,58.679,45.660,463,43.679
8,8,0.267,632.709,524.020,59.690,49.436,353,1,622,484,58.679,45.660,463,43.679
9,9,0.300,631.743,523.625,59.598,49.399,382,1,622,484,58.679,45.660,463,43.679
10,10,0.333,631.866,523.756,59.610,49.411,379,1,622,484,58.679,45.660,463,43.679
11,11,0.367,631.885,523.767,59.612,49.412,377,1,622,484,58.679,45.660,463,43.679
12,12,0.400,632.140,523.922,59.636,49.427,382,1,622,484,58.679,45.660,463,43.679
13,13,0.433,632.097,523.777,59.632,49.413,386,1,622,484,58.679,45.660,463,43.679
14,14,0.467,632.161,523.690,59.638,49.405,385,1,622,484,58.679,45.660,463,43.679
15,15,0.500,632.116,523.655,59.634,49.401,385,1,622,484,58.679,45.660,463,43.679
16,16,0.533,632.037,523.606,59.626,49.397,384,1,622,484,58.679,45.660,463,43.679
17,17,0.567,632.054,523.582,59.628,49.395,382,1,622,484,58.679,45.660,463,43.679
18,18,0.600,632.278,523.794,59.649,49.415,396,1,622,484,58.679,45.660,463,43.679
19,19,0.633,632.130,523.720,59.635,49.408,397,1,622,484,58.679,45.660,463,43.679
20,20,0.667,632.271,523.831,59.648,49.418,393,1,622,484,58.679,45.660,463,43.679
21,21,0.700,632.189,523.799,59.640,49.415,395,1,622,484,58.679,45.660,463,43.679
22,22,0.733,632.034,523.768,59.626,49.412,401,1,622,484,58.679,45.660,463,43.679
23,23,0.767,632.270,523.819,59.648,49.417,390,1,622,484,58.679,45.660,463,43.679
24,24,0.800,632.153,523.751,59.637,49.410,398,1,622,484,58.679,45.660,463,43.679
25,25,0.833,631.793,523.631,59.603,49.399,388,1,622,484,58.679,45.660,463,43.679
26,26,0.867,631.963,523.683,59.619,49.404,380,1,622,484,58.679,45.660,463,43.679
27,27,0.900,632.055,523.791,59.628,49.414,383,1,622,484,58.679,45.660,463,43.679
28,28,0.933,631.953,523.760,59.618,49.411,387,1,622,484,58.679,45.660,463,43.679
29,29,0.967,631.970,523.706,59.620,49.406,381,1,622,484,58.679,45.660,463,43.679
30,30,1.000,632.065,523.770,59.629,49.412,391,1,622,484,58.679,45.660,463,43.679
31,31,1.033,632.099,523.775,59.632,49.413,391,1,622,484,58.679,45.660,463,43.679
32,32,1.067,632.001,523.707,59.623,49.406,382,1,622,484,58.679,45.660,463,43.679
33,33,1.100,632.050,523.702,59.627,49.406,385,1,622,484,58.679,45.660,463,43.679
34,34,1.133,632.051,523.704,59.627,49.406,385,1,622,484,58.679,45.660,463,43.679
35,35,1.167,632.109,523.742,59.633,49.410,381,1,622,484,58.679,45.660,463,43.679
36,36,1.200,632.113,523.878,59.633,49.422,390,1,622,484,58.679,45.660,463,43.679
37,37,1.233,632.098,523.879,59.632,49.423,389,1,622,484,58.679,45.660,463,43.679
38,38,1.267,632.086,523.883,59.631,49.423,386,1,622,484,58.679,45.660,463,43.679
39,39,1.300,632.111,523.900,59.633,49.425,392,1,622,484,58.679,45.660,463,43.679
40,40,1.333,632.033,523.850,59.626,49.420,394,1,622,484,58.679,45.660,463,43.679
41,41,1.367,632.076,523.911,59.630,49.426,389,1,622,484,58.679,45.660,463,43.679
42,42,1.400,632.135,523.983,59.635,49.432,392,1,622,484,58.679,45.660,463,43.679
43,43,1.433,631.888,523.743,59.612,49.410,393,1,622,484,58.679,45.660,463,43.679
