 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,611.449,498.276,57.684,47.007,269,1,647,499.500,61.038,47.123,470.250,44.363
2,2,0.067,612.167,498.222,57.752,47.002,266,1,647,499.500,61.038,47.123,470.250,44.363
3,3,0.100,612.167,498.222,57.752,47.002,266,1,647,499.500,61.038,47.123,470.250,44.363
4,4,0.133,612.167,498.222,57.752,47.002,266,1,647,499.500,61.038,47.123,470.250,44.363
5,5,0.167,611.319,498.052,57.672,46.986,285,1,647,499.500,61.038,47.123,470.250,44.363
6,6,0.200,610.768,498.031,57.620,46.984,289,1,647,499.500,61.038,47.123,470.250,44.363
7,7,0.233,610.736,497.975,57.617,46.979,286,1,647,499.500,61.038,47.123,470.250,44.363
8,8,0.267,610.342,497.699,57.579,46.953,302,1,647,499.500,61.038,47.123,470.250,44.363
9,9,0.300,609.953,497.697,57.543,46.953,310,1,647,499.500,61.038,47.123,470.250,44.363
10,10,0.333,609.949,497.664,57.542,46.949,308,1,647,499.500,61.038,47.123,470.250,44.363
11,11,0.367,609.864,497.688,57.534,46.952,311,1,647,499.500,61.038,47.123,470.250,44.363
12,12,0.400,609.707,497.717,57.520,46.954,316,1,647,499.500,61.038,47.123,470.250,44.363
13,13,0.433,609.687,497.703,57.518,46.953,317,1,647,499.500,61.038,47.123,470.250,44.363
14,14,0.467,609.704,497.654,57.519,46.949,317,1,647,499.500,61.038,47.123,470.250,44.363
15,15,0.500,609.891,497.722,57.537,46.955,320,1,647,499.500,61.038,47.123,470.250,44.363
16,16,0.533,609.991,497.615,57.546,46.945,313,1,647,499.500,61.038,47.123,470.250,44.363
17,17,0.567,609.998,497.617,57.547,46.945,313,1,647,499.500,61.038,47.123,470.250,44.363
18,18,0.600,609.990,497.582,57.546,46.942,311,1,647,499.500,61.038,47.123,470.250,44.363
19,19,0.633,609.990,497.552,57.546,46.939,313,1,647,499.500,61.038,47.123,470.250,44.363
20,20,0.667,609.988,497.552,57.546,46.939,313,1,647,499.500,61.038,47.123,470.250,44.363
21,21,0.700,609.887,497.552,57.536,46.939,312,1,647,499.500,61.038,47.123,470.250,44.363
22,22,0.733,609.821,497.522,57.530,46.936,311,1,647,499.500,61.038,47.123,470.250,44.363
23,23,0.767,609.818,497.524,57.530,46.936,311,1,647,499.500,61.038,47.123,470.250,44.363
24,24,0.800,609.806,497.505,57.529,46.934,317,1,647,499.500,61.038,47.123,470.250,44.363
25,25,0.833,609.658,497.463,57.515,46.931,316,1,647,499.500,61.038,47.123,470.250,44.363
26,26,0.867,609.687,497.518,57.518,46.936,319,1,647,499.500,61.038,47.123,470.250,44.363
27,27,0.900,609.628,497.518,57.512,46.936,320,1,647,499.500,61.038,47.123,470.250,44.363
28,28,0.933,609.661,497.510,57.515,46.935,319,1,647,499.500,61.038,47.123,470.250,44.363
29,29,0.967,609.664,497.510,57.515,46.935,319,1,647,499.500,61.038,47.123,470.250,44.363
30,30,1.000,609.720,497.506,57.521,46.934,317,1,647,499.500,61.038,47.123,470.250,44.363
31,31,1.033,609.734,497.485,57.522,46.933,312,1,647,499.500,61.038,47.123,470.250,44.363
32,32,1.067,609.726,497.496,57.521,46.934,316,1,647,499.500,61.038,47.123,470.250,44.363
33,33,1.100,609.519,497.443,57.502,46.929,319,1,647,499.500,61.038,47.123,470.250,44.363
34,34,1.133,609.644,497.469,57.514,46.931,314,1,647,499.500,61.038,47.123,470.250,44.363
35,35,1.167,609.555,497.495,57.505,46.934,321,1,647,499.500,61.038,47.123,470.250,44.363
36,36,1.200,609.542,497.509,57.504,46.935,322,1,647,499.500,61.038,47.123,470.250,44.363
37,37,1.233,609.416,497.498,57.492,46.934,322,1,647,499.500,61.038,47.123,470.250,44.363
38,38,1.267,609.501,497.489,57.500,46.933,326,1,647,499.500,61.038,47.123,470.250,44.363
39,39,1.300,609.429,497.517,57.493,46.936,331,1,647,499.500,61.038,47.123,470.250,44.363
40,40,1.333,609.416,497.485,57.492,46.933,323,1,647,499.500,61.038,47.123,470.250,44.363
41,41,1.367,609.380,497.468,57.489,46.931,323,1,647,499.500,61.038,47.123,470.250,44.363
42,42,1.400,609.434,497.454,57.494,46.930,327,1,647,499.500,61.038,47.123,470.250,44.363
43,43,1.433,609.488,497.497,57.499,46.934,324,1,647,499.500,61.038,47.123,470.250,44.363
44,44,1.467,609.489,497.497,57.499,46.934,324,1,647,499.500,61.038,47.123,470.250,44.363
45,45,1.500,609.494,497.479,57.499,46.932,327,1,647,499.500,61.038,47.123,470.250,44.363
46,46,1.533,609.416,497.500,57.492,46.934,322,1,647,499.500,61.038,47.123,470.250,44.363
47,47,1.567,609.483,497.493,57.498,46.933,325,1,647,499.500,61.038,47.123,470.250,44.363
48,48,1.600,609.389,497.509,57.490,46.935,329,1,647,499.500,61.038,47.123,470.250,44.363
49,49,1.633,609.433,497.448,57.494,46.929,319,1,647,499.500,61.038,47.123,470.250,44.363
50,50,1.667,609.406,497.442,57.491,46.928,319,1,647,499.500,61.038,47.123,470.250,44.363
51,51,1.700,609.341,497.479,57.485,46.932,321,1,647,499.500,61.038,47.123,470.250,44.363
52,52,1.733,609.352,497.450,57.486,46.929,318,1,647,499.500,61.038,47.123,470.250,44.363
53,53,1.767,609.353,497.449,57.486,46.929,318,1,647,499.500,61.038,47.123,470.250,44.363
54,54,1.800,609.252,497.517,57.477,46.936,324,1,647,499.500,61.038,47.123,470.250,44.363
55,55,1.833,609.355,497.468,57.486,46.931,318,1,647,499.500,61.038,47.123,470.250,44.363
56,56,1.867,609.294,497.448,57.481,46.929,321,1,647,499.500,61.038,47.123,470.250,44.363
57,57,1.900,609.199,497.438,57.472,46.928,324,1,647,499.500,61.038,47.123,470.250,44.363
58,58,1.933,609.239,497.427,57.475,46.927,322,1,647,499.500,61.038,47.123,470.250,44.363
59,59,1.967,609.246,497.430,57.476,46.927,322,1,647,499.500,61.038,47.123,470.250,44.363
60,60,2.000,609.118,497.393,57.464,46.924,325,1,647,499.500,61.038,47.123,470.250,44.363
61,61,2.033,609.063,497.159,57.459,46.902,306,1,647,499.500,61.038,47.123,470.250,44.363
62,62,2.067,609.173,497.156,57.469,46.902,313,1,647,499.500,61.038,47.123,470.250,44.363
63,63,2.100,609.191,497.154,57.471,46.901,313,1,647,499.500,61.038,47.123,470.250,44.363
64,64,2.133,609.217,497.157,57.473,46.902,312,1,647,499.500,61.038,47.123,470.250,44.363
65,65,2.167,609.217,497.157,57.473,46.902,312,1,647,499.500,61.038,47.123,470.250,44.363
66,66,2.200,609.072,497.131,57.460,46.899,314,1,647,499.500,61.038,47.123,470.250,44.363
67,67,2.233,609.223,497.160,57.474,46.902,311,1,647,499.500,61.038,47.123,470.250,44.363
68,68,2.267,609.145,497.141,57.467,46.900,313,1,647,499.500,61.038,47.123,470.250,44.363
69,69,2.300,609.139,497.157,57.466,46.902,312,1,647,499.500,61.038,47.123,470.250,44.363
70,70,2.333,609.017,497.130,57.454,46.899,312,1,647,499.500,61.038,47.123,470.250,44.363
