 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,600.106,28.467,57.153,2.711,339,1,607,486,57.810,46.286,461,43.905
2,2,0.067,617.620,507.280,58.821,48.312,255,1,607,486,57.810,46.286,461,43.905
3,3,0.100,617.620,507.280,58.821,48.312,255,1,607,486,57.810,46.286,461,43.905
4,4,0.133,617.629,507.430,58.822,48.327,250,1,607,486,57.810,46.286,461,43.905
5,5,0.167,617.634,507.644,58.822,48.347,269,1,607,486,57.810,46.286,461,43.905
6,6,0.200,617.575,508.077,58.817,48.388,242,1,607,486,57.810,46.286,461,43.905
7,7,0.233,617.582,507.968,58.817,48.378,247,1,607,486,57.810,46.286,461,43.905
8,8,0.267,617.748,508.098,58.833,48.390,250,1,607,486,57.810,46.286,461,43.905
9,9,0.300,617.758,508.244,58.834,48.404,245,1,607,486,57.810,46.286,461,43.905
10,10,0.333,617.901,508.372,58.848,48.416,246,1,607,486,57.810,46.286,461,43.905
11,11,0.367,617.868,508.537,58.845,48.432,254,1,607,486,57.810,46.286,461,43.905
12,12,0.400,618.056,508.669,58.862,48.445,259,1,607,486,57.810,46.286,461,43.905
13,13,0.433,617.672,508.389,58.826,48.418,259,1,607,486,57.810,46.286,461,43.905
14,14,0.467,617.705,508.424,58.829,48.421,259,1,607,486,57.810,46.286,461,43.905
15,15,0.500,619.094,508.428,58.961,48.422,306,1,607,486,57.810,46.286,461,43.905
16,16,0.533,618.880,508.257,58.941,48.405,309,1,607,486,57.810,46.286,461,43.905
17,17,0.567,618.465,508.315,58.901,48.411,293,1,607,486,57.810,46.286,461,43.905
18,18,0.600,618.436,508.255,58.899,48.405,295,1,607,486,57.810,46.286,461,43.905
19,19,0.633,618.745,508.609,58.928,48.439,311,1,607,486,57.810,46.286,461,43.905
20,20,0.667,619.161,508.972,58.968,48.473,291,1,607,486,57.810,46.286,461,43.905
21,21,0.700,618.726,508.977,58.926,48.474,277,1,607,486,57.810,46.286,461,43.905
22,22,0.733,618.725,508.976,58.926,48.474,277,1,607,486,57.810,46.286,461,43.905
23,23,0.767,618.642,508.758,58.918,48.453,277,1,607,486,57.810,46.286,461,43.905
24,24,0.800,618.536,508.748,58.908,48.452,276,1,607,486,57.810,46.286,461,43.905
25,25,0.833,618.351,508.570,58.891,48.435,290,1,607,486,57.810,46.286,461,43.905
26,26,0.867,618.467,508.802,58.902,48.457,295,1,607,486,57.810,46.286,461,43.905
27,27,0.900,618.775,508.474,58.931,48.426,322,1,607,486,57.810,46.286,461,43.905
28,28,0.933,618.778,508.448,58.931,48.424,323,1,607,486,57.810,46.286,461,43.905
29,29,0.967,618.591,507.934,58.913,48.375,324,1,607,486,57.810,46.286,461,43.905
30,30,1.000,618.379,508.121,58.893,48.392,312,1,607,486,57.810,46.286,461,43.905
31,31,1.033,618.388,507.950,58.894,48.376,319,1,607,486,57.810,46.286,461,43.905
32,32,1.067,618.576,508.360,58.912,48.415,324,1,607,486,57.810,46.286,461,43.905
33,33,1.100,619.230,508.506,58.974,48.429,353,1,607,486,57.810,46.286,461,43.905
34,34,1.133,618.155,509.169,58.872,48.492,282,1,607,486,57.810,46.286,461,43.905
35,35,1.167,619.107,508.114,58.963,48.392,346,1,607,486,57.810,46.286,461,43.905
36,36,1.200,618.870,508.065,58.940,48.387,343,1,607,486,57.810,46.286,461,43.905
37,37,1.233,618.851,508.054,58.938,48.386,343,1,607,486,57.810,46.286,461,43.905
38,38,1.267,619.143,508.186,58.966,48.399,347,1,607,486,57.810,46.286,461,43.905
39,39,1.300,619.425,508.173,58.993,48.397,344,1,607,486,57.810,46.286,461,43.905
40,40,1.333,619.133,508.272,58.965,48.407,356,1,607,486,57.810,46.286,461,43.905
41,41,1.367,619.060,508.315,58.958,48.411,345,1,607,486,57.810,46.286,461,43.905
42,42,1.400,617.822,508.637,58.840,48.442,286,1,607,486,57.810,46.286,461,43.905
43,43,1.433,617.906,508.679,58.848,48.446,287,1,607,486,57.810,46.286,461,43.905
44,44,1.467,617.958,508.743,58.853,48.452,277,1,607,486,57.810,46.286,461,43.905
45,45,1.500,619.047,508.313,58.957,48.411,341,1,607,486,57.810,46.286,461,43.905
46,46,1.533,619.422,508.009,58.993,48.382,374,1,607,486,57.810,46.286,461,43.905
47,47,1.567,618.602,508.048,58.914,48.386,334,1,607,486,57.810,46.286,461,43.905
48,48,1.600,618.844,507.978,58.938,48.379,347,1,607,486,57.810,46.286,461,43.905
49,49,1.633,618.722,508.052,58.926,48.386,337,1,607,486,57.810,46.286,461,43.905
50,50,1.667,618.801,508.301,58.933,48.410,326,1,607,486,57.810,46.286,461,43.905
51,51,1.700,618.882,508.365,58.941,48.416,344,1,607,486,57.810,46.286,461,43.905
52,52,1.733,618.591,507.898,58.913,48.371,334,1,607,486,57.810,46.286,461,43.905
53,53,1.767,618.621,507.879,58.916,48.369,338,1,607,486,57.810,46.286,461,43.905
54,54,1.800,618.491,507.795,58.904,48.361,332,1,607,486,57.810,46.286,461,43.905
55,55,1.833,619.087,508.129,58.961,48.393,321,1,607,486,57.810,46.286,461,43.905
56,56,1.867,618.269,509.114,58.883,48.487,265,1,607,486,57.810,46.286,461,43.905
57,57,1.900,619.188,508.185,58.970,48.399,319,1,607,486,57.810,46.286,461,43.905
58,58,1.933,618.981,508.081,58.951,48.389,328,1,607,486,57.810,46.286,461,43.905
59,59,1.967,619.005,508.026,58.953,48.383,334,1,607,486,57.810,46.286,461,43.905
60,60,2.000,619.005,508.026,58.953,48.383,334,1,607,486,57.810,46.286,461,43.905
61,61,2.033,618.322,508.302,58.888,48.410,284,1,607,486,57.810,46.286,461,43.905
62,62,2.067,618.443,508.668,58.899,48.445,274,1,607,486,57.810,46.286,461,43.905
63,63,2.100,618.677,508.645,58.922,48.442,283,1,607,486,57.810,46.286,461,43.905
64,64,2.133,618.677,508.645,58.922,48.442,283,1,607,486,57.810,46.286,461,43.905
65,65,2.167,618.673,508.640,58.921,48.442,283,1,607,486,57.810,46.286,461,43.905
66,66,2.200,619.245,508.599,58.976,48.438,312,1,607,486,57.810,46.286,461,43.905
67,67,2.233,619.426,508.474,58.993,48.426,321,1,607,486,57.810,46.286,461,43.905
68,68,2.267,619.426,508.474,58.993,48.426,321,1,607,486,57.810,46.286,461,43.905
69,69,2.300,619.328,508.309,58.984,48.410,325,1,607,486,57.810,46.286,461,43.905
70,70,2.333,619.074,507.958,58.959,48.377,329,1,607,486,57.810,46.286,461,43.905
71,71,2.367,619.023,507.954,58.955,48.377,328,1,607,486,57.810,46.286,461,43.905
72,72,2.400,619.023,507.954,58.955,48.377,328,1,607,486,57.810,46.286,461,43.905
73,73,2.433,618.889,508.032,58.942,48.384,323,1,607,486,57.810,46.286,461,43.905
74,74,2.467,619.105,508.067,58.962,48.387,331,1,607,486,57.810,46.286,461,43.905
75,75,2.500,618.937,508.150,58.946,48.395,334,1,607,486,57.810,46.286,461,43.905
76,76,2.533,618.844,507.654,58.938,48.348,323,1,607,486,57.810,46.286,461,43.905
77,77,2.567,618.739,507.376,58.928,48.321,318,1,607,486,57.810,46.286,461,43.905
78,78,2.600,619.103,507.247,58.962,48.309,335,1,607,486,57.810,46.286,461,43.905
79,79,2.633,619.359,507.021,58.987,48.288,339,1,607,486,57.810,46.286,461,43.905
80,80,2.667,619.358,507.020,58.986,48.288,339,1,607,486,57.810,46.286,461,43.905
81,81,2.700,619.448,506.930,58.995,48.279,346,1,607,486,57.810,46.286,461,43.905
82,82,2.733,619.448,506.930,58.995,48.279,346,1,607,486,57.810,46.286,461,43.905
83,83,2.767,619.473,507.141,58.997,48.299,351,1,607,486,57.810,46.286,461,43.905
84,84,2.800,619.486,507.122,58.999,48.297,351,1,607,486,57.810,46.286,461,43.905
85,85,2.833,619.592,506.993,59.009,48.285,353,1,607,486,57.810,46.286,461,43.905
86,86,2.867,619.782,507.102,59.027,48.295,363,1,607,486,57.810,46.286,461,43.905
87,87,2.900,619.486,506.962,58.999,48.282,364,1,607,486,57.810,46.286,461,43.905
88,88,2.933,619.555,506.990,59.005,48.285,363,1,607,486,57.810,46.286,461,43.905
89,89,2.967,619.351,507.327,58.986,48.317,332,1,607,486,57.810,46.286,461,43.905
90,90,3.000,619.356,507.331,58.986,48.317,332,1,607,486,57.810,46.286,461,43.905
91,91,3.033,619.653,507.196,59.015,48.304,349,1,607,486,57.810,46.286,461,43.905
92,92,3.067,619.653,507.196,59.015,48.304,349,1,607,486,57.810,46.286,461,43.905
93,93,3.100,619.561,507.169,59.006,48.302,346,1,607,486,57.810,46.286,461,43.905
94,94,3.133,619.757,507.101,59.024,48.295,361,1,607,486,57.810,46.286,461,43.905
95,95,3.167,619.997,507.170,59.047,48.302,359,1,607,486,57.810,46.286,461,43.905
96,96,3.200,619.864,507.125,59.035,48.298,361,1,607,486,57.810,46.286,461,43.905
97,97,3.233,620.012,507.363,59.049,48.320,359,1,607,486,57.810,46.286,461,43.905
98,98,3.267,619.969,507.377,59.045,48.322,357,1,607,486,57.810,46.286,461,43.905
