file,total_frames,pct_time_untracked,longest_untracked_stretch_s,n_short_gaps_interpolated,n_outliers_rejected,n_speed_outliers,total_distance_mm,mean_speed_mm_s,median_speed_mm_s,max_speed_mm_s,cohort,genotype,stage,condition,replicate,noise_scale_mm,n_flagged_events,flagged,flag_reason
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L1_FA.csv,5402,0.0,0.0,0,0,0,113.98539767824548,0.6331349621083807,0.5028916384273823,3.7606648348396674,N1,genotiponovo,,,29C_L1_FA,0.0089511415964705,0,False,
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L2_FA.csv,5403,76.73514714047751,81.8,72,0,0,53.79191090480974,1.289973882609346,0.9904544411531474,5.5891054740449375,N1,genotiponovo,,,29C_L2_FA,0.0049652000000060675,0,False,
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L3_FA.csv,5403,21.09938922820655,38.0,4,0,0,87.16689580927807,0.6139955093398315,0.47434164902521647,3.891336531321556,N1,genotiponovo,,,29C_L3_FA,0.008951141596460717,0,False,
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L4_FA.csv,5402,0.0,0.0,0,0,0,69.24885158806589,0.3846446116722786,0.276586333718905,7.942241497209713,N1,genotiponovo,,,29C_L4_FA,0.012798886972427375,0,False,
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L5_FA.csv,5403,19.230057375532112,34.63333333333333,5,0,0,93.82556110788447,0.6457368279964519,0.5239274758971829,3.8330797017541967,N1,genotiponovo,,,29C_L5_FA,0.007447800000000282,0,False,
..\data\csvs\genotiponovo\N1\N1_nSybxRalRNAiBL29580_29C_L6_FA.csv,5403,19.785304460484916,35.63333333333333,0,0,0,85.3292753092116,0.5907865818777632,0.45099889135119964,3.8722086720629356,N1,genotiponovo,,,29C_L6_FA,0.007447800000000282,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L1_FA.csv,5402,0.0,0.0,17,17,0,143.52570023866653,0.7972173684799103,0.6007495318348902,4.7184001525940715,N2,genotiponovo,L1,FA,,0.002482600000011854,1,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L2_FA.csv,5402,50.0925583117364,47.5,0,0,0,127.86919308076502,1.4244618612784814,1.2241323457861344,5.846383497513595,N2,genotiponovo,L2,FA,,0.007447800000000282,0,True,unusually fast median speed
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L3_FA.csv,5404,62.768319763138415,112.5,13,0,0,64.07607585567288,0.9558837770612564,0.7648529270386402,6.413267497929511,N2,genotiponovo,L3,FA,,0.004965199999988428,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L4_FA.csv,5402,31.284709366901147,46.46666666666667,64,36,0,121.74779183607664,0.984748922912456,0.7874642849043526,5.368239935025239,N2,genotiponovo,L4,FA,,0.0,2,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L5_FA.csv,5402,0.0,0.0,0,0,0,106.28243284672108,0.590348636437999,0.45891175622336805,4.384928733742462,N2,genotiponovo,L5,FA,,0.004965199999997248,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L6_FA.csv,5402,13.902258422806367,25.033333333333335,13,0,0,120.10108189844148,0.7750123589918789,0.6000000000000085,5.098234988699556,N2,genotiponovo,L6,FA,,0.002482599999998624,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L7_FA.csv,5402,54.091077378748615,97.4,113,0,0,67.95863427939746,0.8224118710697556,0.6007495318351138,4.158004329002184,N2,genotiponovo,L7,FA,,0.002482600000011854,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L8_FA.csv,5401,25.01388631734864,45.03333333333333,1,0,0,111.38868152647117,0.825509003407642,0.61846584384272,4.272762572388041,N2,genotiponovo,L8,FA,,0.004965199999988428,0,False,
..\data\csvs\genotiponovo\N2\N2_nSybxRalRNAi_L9_FA.csv,5402,0.0,0.16666666666666666,5,0,0,94.57955518017006,0.5258314780217016,0.4013710789368652,3.294267748681114,N2,genotiponovo,L9,FA,,0.007447800000000282,0,False,
..\data\csvs\genotiponovo\N3\N3_nSybxRalRNAi_L1_FA.csv,5402,0.0,0.0,0,0,0,87.21447328052088,0.48443514134708876,0.37107950630560355,3.142133033466354,N3,genotiponovo,L1,FA,,0.007447800000000282,0,False,
..\data\csvs\genotiponovo\N3\N3_nSybxRalRNAi_L2_FA.csv,5402,27.786005183265456,50.03333333333333,0,0,0,72.04662166194157,0.5542047820149353,0.42426406871184413,3.012573650552031,N3,genotiponovo,L2,FA,,0.0070218531798909994,0,False,
..\data\csvs\genotiponovo\N3\N3_nSybxRalRNAi_L3_FA.csv,5402,38.68937430581266,52.166666666666664,43,0,0,68.68420079634333,0.6227035430312178,0.4459820624195625,3.9477081959031857,N3,genotiponovo,L3,FA,,0.004965200000023708,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L1_FA.csv,5402,0.0,0.0,0,0,0,113.98539767824548,0.6331349621083807,0.5028916384273823,3.7606648348396674,N1,nSybxRalRNAi,,,29C_L1_FA,0.0089511415964705,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L2_FA.csv,5403,76.73514714047751,81.8,72,0,0,53.79191090480974,1.289973882609346,0.9904544411531474,5.5891054740449375,N1,nSybxRalRNAi,,,29C_L2_FA,0.0049652000000060675,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L3_FA.csv,5403,21.09938922820655,38.0,4,0,0,87.16689580927807,0.6139955093398315,0.47434164902521647,3.891336531321556,N1,nSybxRalRNAi,,,29C_L3_FA,0.008951141596460717,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L4_FA.csv,5402,0.0,0.0,0,0,0,69.24885158806589,0.3846446116722786,0.276586333718905,7.942241497209713,N1,nSybxRalRNAi,,,29C_L4_FA,0.012798886972427375,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L5_FA.csv,5403,19.230057375532112,34.63333333333333,5,0,0,93.82556110788447,0.6457368279964519,0.5239274758971829,3.8330797017541967,N1,nSybxRalRNAi,,,29C_L5_FA,0.007447800000000282,0,False,
..\data\csvs\nSybxRalRNAi\N1\N1_nSybxRalRNAiBL29580_29C_L6_FA.csv,5403,19.785304460484916,35.63333333333333,0,0,0,85.3292753092116,0.5907865818777632,0.45099889135119964,3.8722086720629356,N1,nSybxRalRNAi,,,29C_L6_FA,0.007447800000000282,0,False,
..\data\csvs\nSybxRalRNAi\N2\N2_nSybxRalRNAi_L1_FA.csv,5402,0.0,0.0,17,17,0,143.52570023866653,0.7972173684799103,0.6007495318348902,4.7184001525940715,N2,nSybxRalRNAi,L1,FA,,0.002482600000011854,1,False,
