Genotype,Replicate,N_Larvae,Distance_Median_mm,Distance_Mean_mm,Distance_SEM_mm,Speed_Median_mm_s,Speed_Mean_mm_s,Speed_SEM_mm_s
w1118,N1,5,81.66655623740205,87.93157568865311,9.888678686202818,0.9301317482175748,0.8833247941222953,0.06346444301477573
w1118,N2,9,88.13771131337786,99.14007891150388,13.065496108257326,0.9489513049969014,0.8573137654427853,0.0703612872871045
w1118,N3,9,128.0759402786976,122.36044598915075,11.250294198519521,0.7112695683748478,0.7218780010884441,0.045861546860817524
RalG0501,N1,6,98.310820543641,94.30988078512097,8.790729391329178,0.5584859549880592,0.5550565073213557,0.03888925623391124
RalG0501,N2,8,105.75458968386523,101.58766556986117,11.637662147384132,0.7233450441309921,0.7236156331189609,0.04174116219837792
RalG0501,N3,8,114.1959728466764,112.07801298164819,6.78029158590454,0.6343046075542107,0.6225403424272257,0.03766131227127128
nSybxw1118,N1,5,110.38682672807748,112.17271318570354,6.299501676188734,0.6140561471986509,0.7036323570824583,0.09804085382264864
nSybxw1118,N2,8,104.36394393873657,108.14509456927772,15.491768064921828,0.6863321241443996,0.7650634410690699,0.09925493795934796
nSybxw1118,N3,9,79.71017195643083,85.86612376026265,11.429669332893333,0.6575039599853304,0.6500231691563655,0.07523550458662695
nSybxRalRNAi,N1,6,86.24808555924483,83.89131539958255,8.441003256172525,0.6235652357241062,0.6930453959340088,0.12569377765585402
nSybxRalRNAi,N2,9,111.38868152647116,106.39212741582026,8.894594571025678,0.8224118710697556,0.8557139197401201,0.08671115557896975
nSybxRalRNAi,N3,9,72.04662166194157,80.23111350991623,7.842628394429642,0.5998756763823364,0.6430569088470411,0.0716720962384071
